place,title,time,pay,date
울산 남구,"울산 삼산동,달동 중심상권/고층아파트 담당 프레시매니저 모집(선착순 마감)",08:00~16:30,"월급 1,800,000",5분전
인천 연수구,hy한국야쿠르트 송도점 오전3시간 사무실 제품전달(자차이용가능)구인 합니다,05:30~08:30,"월급 1,200,000",7분전
부산 남구,유제품 배달. 한국야쿠르트 대연점 프레시매니저 1명 모집,08:00~15:00,"월급 1,850,000",8분전
경남 창원시,[창원 남양동 야쿠르트 배달] HY 프레시 매니저 구인(주부환영),09:00~12:00,"월급 900,000",11분전
경북 김천시,[주부환영](주)한국야쿠르트 김천점(김천시 전역) 프레시매니저 모집,07:00~15:00,"월급 1,700,000",14분전
경북 김천시,"[주부환영](주)한국야쿠르트 김천점(지좌동, 덕곡동 일대) 프레시매니저 모집",07:00~15:00,"월급 1,700,000",15분전
인천 연수구,hy한국야쿠르트 송도점 오전파트타임 4시간 소요 제품전달매니저 구인합니다,07:30~11:30,"월급 1,200,000",17분전
경남 창원시,[6시간/150만]프레시매니저모집(내서중리동신APT인근),시간협의,"월급 1,500,000",18분전
경기 광명시,"[월200이상, 여성배달] 광명시 철산동 (주)hy 광명점 프레시매니저 모집",06:30~17:00,"월급 2,270,000",24분전
경기 시흥시,"[여성배달,미혼가능] 시흥시 하중동 (주)hy 연성점 프레시매니저 모집",08:00~16:00,"월급 1,970,000",24분전
경기 시흥시,"[여성배달,미혼가능] 시흥시 매화동 (주)hy 연성점 프레시매니저 모집",06:00~15:00,"월급 1,900,000",24분전
경기 시흥시,"[여성배달,미혼가능] 시흥시 장곡동 (주)hy 연성점 프레시매니저 모집",06:00~15:00,"월급 1,900,000",24분전
서울 금천구,"[월200만원, 여성배달] 금천구 독산동 (주)hy 대흥점 프레시매니저 모집",06:00~17:00,"월급 2,280,000",25분전
서울 금천구,"[월200만원, 여성배달] 금천구 독산동 (주)hy 대흥점 프레시매니저 모집",07:00~17:00,"월급 2,280,000",25분전
경기 광명시,"[초보가능, 여성배달] 광명 일직동 (주)hy 하안점 프레시매니저 모집",08:00~17:00,"월급 1,600,000",25분전
경기 광명시,"[초보가능, 여성배달] 광명 하안동 (주)hy 하안점 프레시매니저 모집",07:00~16:00,"월급 1,820,000",25분전
경기 광명시,"[초보가능, 여성배달] 광명 하안동 (주)hy 하안점 프레시매니저 모집",09:00~17:00,"월급 1,800,000",25분전
서울 금천구,"[월200이상,여성배달] 금천구 시흥동 (주)hy 시흥점 프레시매니저 모집",09:00~18:00,"월급 2,000,000",25분전
서울 금천구,"[초보가능, 여성배달] 금천구 시흥동 (주)hy 시흥점 프레시매니저 모집",07:00~16:00,"월급 1,900,000",25분전
경기 안양시,"[월200이상,여성배달] 안양 석수동 (주)hy 석수점 프레시매니저 모집",07:30~17:30,"월급 2,050,000",25분전
서울 관악구,"[월250이상,여성단순배달] 관악구 신원동 (주)hy신림점 프레시매니저 모집",06:00~19:00,"월급 2,500,000",37분전
경북 영덕군,[주부환영]hy 양덕점 프레시매니저 모집(자유로운 시간/초기비용X),시간협의,"월급 1,500,000",37분전
경북 울진군,[주부환영]hy 양덕점 프레시매니저 모집(자유로운 시간/초기비용X),시간협의,"월급 1,500,000",37분전
경북 포항시,[주부환영]hy 양덕점 프레시매니저 모집(자유로운 시간/초기비용X),시간협의,"월급 1,500,000",38분전
경북 포항시,[주부환영]hy 용흥점 프레시매니저 모집(자유로운 시간/초기비용X),시간협의,"월급 1,800,000",38분전
부산 사하구,"한국야쿠르트 프레시 매니저(야쿠르트 아줌마)모집-괴정동, 감천동",시간협의,"월급 1,900,000",39분전
경북 포항시,[주부환영]hy 송죽점 프레시매니저 모집(자유로운 시간/초기비용X),시간협의,"월급 1,000,000",39분전
