place,title,time,pay,date
서울 관악구,[월~금] 서울대학교 두레미담 계약직 사원 모집 / 홀서빙 업무,11:00~20:00,"시급 8,720",3시간전
서울 전체,양재점 축산진열판매 계약직원 모집,09:00~18:00,"시급 9,950",3시간전
서울 강남구,양재점 축산진열판매 계약직원 모집,09:00~18:00,"시급 9,950",3시간전
서울 서초구,양재점 축산진열판매 계약직원 모집,09:00~18:00,"시급 9,950",3시간전
서울 동작구,[월~금] 서울대학교 두레미담 계약직 사원 모집 / 홀서빙 업무,11:00~20:00,"시급 8,720",07/18
서울 서초구,(주)농협유통 하나로마트 축산 담당자 모집,시간협의,"연봉 30,000,000",07/18
서울 전체,(주)농협유통 파트타이머 - 창동권,01:00~06:00,"일급 67,500",07/17
서울 전체,(주)농협유통 파트타이머-양재권,01:00~06:00,"일급 67,500",07/17
경기 수원시,하나로마트 수원금곡점 계산원 모집,10:00~19:00,"시급 8,720",07/14
경기 용인시,광교하나로마트 가공생필 상품진열 아르바이트 구인,08:00~16:00,"시급 9,000",07/12
