place,title,time,pay,date
경기 안성시,[안성스타필드나이키]교대근무 (격주근무 5.5일제),10:00~20:00,"월급 2,050,000",6분전
서울 마포구,나이키 스니커즈 홍대 (SNKRS) 전세계 최초 스니커즈 컨셉 나이키 스토어,시간협의,"월급 2,030,000",1시간전
경남 진주시,나이키 갤러리아 진주점 정규직 판매사원 채용(경력급여+a)[주 5일 근무],10:00~20:30,"월급 1,980,000",3시간전
경기 안성시,[안성스타필드나이키]교대근무 (격주근무 5.5일제),10:00~20:00,"월급 2,050,000",4시간전
경남 김해시,나이키 신세계 김해점 정규직 판매사원 채용 [1주2회 휴무],10:00~20:30,"월급 1,980,000",6시간전
인천 부평구,나이키 부평점 정규직 판매사원 채용,10:30~22:00,"월급 2,030,000",6시간전
경기 용인시,나이키 신세계죽전점 정규직 사원채용(주5일),09:30~20:30,"월급 1,980,000",6시간전
강원 원주시,나이키 원주타운점(중앙동) 정규직 채용 (주 5일제),10:30~21:30,"월급 2,030,000",7시간전
광주 서구,나이키 광주신세계(B1) 정규직 판매사원 채용(경력급여+a) [주5일제],10:00~20:30,"월급 1,980,000",07/16
인천 부평구,나이키 부평점 정규직 판매사원 채용,10:30~22:00,"월급 2,030,000",07/15
서울 서초구,신세계 강남점 나이키스포츠 정규직원 채용,10:00~20:00,"월급 1,980,000",07/15
경기 용인시,나이키 신세계죽전점 정규직 사원채용(주5일),09:30~20:30,"월급 1,980,000",07/14
서울 강남구,가로수길 조던서울 주5일 정규직 모집,10:30~22:00,"월급 2,030,000",07/06
서울 마포구,조던 홍대 정규직 판매/서비스 사원 채용,11:00~22:30,"월급 2,110,000",07/05
서울 강남구,가로수길 조던서울 파트타임 채용,01:00~21:00,"시급 9,000",07/04
