place,title,time,pay,date
서울 강남구,혼밥대왕 강남점 주간식구모집합니다,시간협의,"시급 10,000",52분전
서울 강남구,혼밥대왕 강남점 야간직원 모집합니다,22:00~10:00,"시급 11,000",52분전
인천 서구,혼밥대왕 검단점 함께 일할 직원을 모집합니다.,17:00~02:00,"월급 2,100,000",1시간전
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,08:00~20:00,"시급 9,500",2시간전
서울 강서구,혼밥대왕 마곡점 주방근무자 모집,시간협의,"시급 10,000",8시간전
경기 용인시,혼밥대왕 용인수지점에서 오후파트타이머/ 매니저 구합니다,16:30~22:30,"시급 9,000",07/17
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,08:00~20:00,"시급 9,500",07/17
서울 전체,혼밥대왕 서초점에서 주간 식구 모집합니다,08:00~20:00,"시급 9,500",07/16
서울 전체,혼밥대왕 ㅡ배달전문점에서 일할가족을  모십니다,시간협의,"시급 10,000",07/12
서울 전체,혼밥대왕(배달 전문점) 문정점 에서 일할 가족을 모십니다,시간협의,"시급 10,000",07/12
경기 김포시,혼밥대왕마산점 파트타임 주방보조 알바 구합니다.,10:00~14:00,"시급 9,000",07/12
경기 의정부,배달전문점 주간 직원 모집,10:00~22:00,"월급 2,300,000",07/12
서울 광진구,쭈블링 건대 주간직원 모집합니다,시간협의,"시급 10,000",07/06
서울 광진구,쭈꾸밍 건대 야간 직원 모집합니다,시간협의,"시급 10,000",07/06
제주 제주시,혼밥대왕 제주 시청점 주방 조리원 모집,07:00~16:00,"월급 2,300,000",07/04
