place,title,time,pay,date
서울 서초구,포터서비스(장바구니 운반) 아르바이트 모집,10:30~18:30,"시급 8,800",1시간전
경기 전체,단기 아르바이트 모집,18:00~23:30,"시급 8,800",3시간전
경기 용인시,직매입 상품 지원 아르바이트 모집,10:30~18:30,"시급 8,800",4시간전
경기 전체,신세계 백화점 경기점 푸드홀 서비스 아르바이트 채용,10:30~20:00,"시급 8,800",4시간전
서울 전체,안내가이드 아르바이트 모집,10:00~18:00,"시급 8,800",5시간전
서울 서초구,라운지주방 아르바이트 모집,11:30~19:30,"시급 8,800",6시간전
서울 서초구,발열체크 아르바이트 모집,10:00~18:00,"시급 8,800",6시간전
서울 전체,까사빠보 주방 세척실 아르바이트 모집,13:00~21:00,"시급 8,800",07/15
서울 강남구,VM 아르바이트 모집,09:00~17:00,"시급 8,800",07/12
서울 서초구,POS포장 아르바이트 모집,10:30~18:30,"시급 8,800",07/10
