place,title,time,pay,date
경기 화성시,롯데백화점 동탄점 챔피언 더 에너자이저[키즈카페] 평일/주말 AR 채용,시간협의,"시급 8,720",2시간전
경기 화성시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",3시간전
경기 용인시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",8시간전
경기 오산시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",8시간전
충남 천안시,퍼스트빌리지 아산점[키즈카페 실내 놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/16
경기 화성시,롯데백화점 동탄점 챔피언 더 에너자이저[키즈카페] 평일/주말 AR 채용,시간협의,"시급 8,720",07/16
경기 화성시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/16
경기 수원시,AK 수원점 챔피언 [키즈카페/실내놀이터] AR 채용,시간협의,"시급 8,720",07/12
경기 고양시,롯데아울렛 고양점 챔피언[키즈카페 실내놀이터] AR 채용,시간협의,"시급 8,720",07/11
서울 강서구,롯데아울렛 고양점 챔피언[키즈카페 실내놀이터] AR 채용,시간협의,"시급 8,720",07/11
서울 은평구,롯데아울렛 고양점 챔피언[키즈카페 실내놀이터] AR 채용,시간협의,"시급 8,720",07/11
충남 논산시,롯데아울렛 부여점[키즈카페 실내놀이터] 평일/주말 아르바이트 채용공고,시간협의,"시급 9,220",07/11
대전 동구,"홈플러스 대전가오점[키즈카페, 실내놀이터] 평일/주말 AR채용",시간협의,"시급 8,720",07/09
경기 용인시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/09
경기 하남시,스타필드 위례점 상상스케치[키즈카페] 평일/ 주말 아르바이트 모집,시간협의,"시급 8,720",07/09
충남 아산시,퍼스트빌리지 아산점[키즈카페 실내 놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/09
경기 화성시,롯데아울렛 기흥점 상상스케치[키즈카페] 평일/주말 AR 모집,시간협의,"시급 9,220",07/09
경기 광명시,홈플러스 금천점 챔피언 평일 AR 채용,16:00~21:00,"시급 8,720",07/09
경기 고양시,이마트킨텍스점 키즈올림픽 주말 AR채용,16:00~21:00,"시급 8,720",07/09
경기 용인시,롯데몰 수지점[키즈카페 실내놀이터] 주말 아르바이트 채용공고,시간협의,"시급 8,720",07/09
울산 중구,신선도원몰 울산점 플레이타임 평일 AR 모집,시간협의,"시급 8,720",07/09
서울 영등포,홈플러스 목동점 챔피언 평일/주말 채용,시간협의,"시급 8,720",07/09
서울 양천구,홈플러스 목동점 챔피언 평일/주말 채용,시간협의,"시급 8,720",07/09
서울 양천구,홈플러스 목동점 챔피언 평일/주말 채용,시간협의,"시급 8,720",07/09
울산 전체,신선도원몰 울산점 플레이타임 평일 AR 모집,15:30~22:00,"시급 8,720",07/07
경기 수원시,엘포트몰 광교점 챔피언 평일 AR 채용,시간협의,"시급 8,720",07/06
서울 양천구,홈플러스 목동점 챔피언 평일/주말 채용,시간협의,"시급 8,720",07/06
대전 동구,"홈플러스 대전가오점[키즈카페, 실내놀이터] 평일/주말 AR채용",15:30~22:00,"시급 8,720",07/04
충남 부여군,롯데아울렛 부여점[키즈카페 실내놀이터] 평일/주말 아르바이트 채용공고,시간협의,"시급 9,220",07/04
경기 화성시,롯데백화점 동탄점 챔피언 더 에너자이저[키즈카페] 평일/주말 AR 채용,시간협의,"시급 8,720",2시간전
경기 화성시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",3시간전
경기 용인시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",8시간전
경기 오산시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",8시간전
충남 천안시,퍼스트빌리지 아산점[키즈카페 실내 놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/16
경기 화성시,롯데백화점 동탄점 챔피언 더 에너자이저[키즈카페] 평일/주말 AR 채용,시간협의,"시급 8,720",07/16
경기 화성시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/16
경기 수원시,AK 수원점 챔피언 [키즈카페/실내놀이터] AR 채용,시간협의,"시급 8,720",07/12
경기 고양시,롯데아울렛 고양점 챔피언[키즈카페 실내놀이터] AR 채용,시간협의,"시급 8,720",07/11
서울 강서구,롯데아울렛 고양점 챔피언[키즈카페 실내놀이터] AR 채용,시간협의,"시급 8,720",07/11
서울 은평구,롯데아울렛 고양점 챔피언[키즈카페 실내놀이터] AR 채용,시간협의,"시급 8,720",07/11
충남 논산시,롯데아울렛 부여점[키즈카페 실내놀이터] 평일/주말 아르바이트 채용공고,시간협의,"시급 9,220",07/11
대전 동구,"홈플러스 대전가오점[키즈카페, 실내놀이터] 평일/주말 AR채용",시간협의,"시급 8,720",07/09
경기 용인시,롯데백화점 동탄점 챔피언 키즈카페[실내놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/09
경기 하남시,스타필드 위례점 상상스케치[키즈카페] 평일/ 주말 아르바이트 모집,시간협의,"시급 8,720",07/09
충남 아산시,퍼스트빌리지 아산점[키즈카페 실내 놀이터] 평일/주말 AR 모집,시간협의,"시급 8,720",07/09
경기 화성시,롯데아울렛 기흥점 상상스케치[키즈카페] 평일/주말 AR 모집,시간협의,"시급 9,220",07/09
경기 광명시,홈플러스 금천점 챔피언 평일 AR 채용,16:00~21:00,"시급 8,720",07/09
경기 고양시,이마트킨텍스점 키즈올림픽 주말 AR채용,16:00~21:00,"시급 8,720",07/09
경기 용인시,롯데몰 수지점[키즈카페 실내놀이터] 주말 아르바이트 채용공고,시간협의,"시급 8,720",07/09
