place,title,time,pay,date
서울 강동구,천호점 강의실세팅 및 하늘정원 관리 등 A/R 모집 (사진첨부필수),09:00~18:30,"시급 8,800",9분전
서울 강동구,천호점 강의실세팅 및 하늘정원 관리 등 A/R 모집 (사진첨부필수),09:00~18:30,"시급 8,800",24분전
서울 영등포,[더현대 서울] 현대백화점 VIP라운지 바리스타 아르바이트 모집,09:30~18:30,"시급 8,800",27분전
대전 전체,[특급알바] 현대프리미엄아울렛 대전점 사은데스크 물류 아르바이트 모집,10:00~19:30,"시급 8,800",3시간전
울산 동구,(현대백화점 동구점)서부패밀리상가 배송AR모집,08:30~18:00,"월급 2,667,000",07/18
경기 남양주,[주5일] 현대프리미엄아울렛 스페이스원 모카가든 안내데스크,10:00~19:30,"시급 8,800",07/18
서울 강남구,[현대백화점 무역센터점] 회원서비스센터 아르바이트 모집,10:30~20:00,"시급 8,800",07/17
경기 고양시,[현대백화점 킨텍스점] 사은데스크 고정 아르바이트 모집,10:00~19:30,"시급 8,800",07/17
서울 강남구,[현대백화점 무역센터점] 검품 및 파우치 아르바이트 모집,10:00~19:00,"시급 8,800",07/15
서울 강동구,천호점 강의실세팅 및 하늘정원 관리 등 A/R 모집 (사진첨부필수),09:00~18:30,"시급 8,800",07/15
