place,title,time,pay,date
부산 북구,홍대개미 덕천점 아르바이트 모집,10:30~13:30,"시급 8,720",34분전
부산 중구,[주5일/215만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~22:00,"월급 2,150,000",51분전
서울 동대문,[주5일 주방 정직원 ] 홍대개미 청량리역사점 모집,시간협의,"월급 2,150,000",2시간전
서울 동대문,[주5일 주방 정직원 ] 홍대개미 청량리역사점 모집,시간협의,"월급 2,150,000",2시간전
부산 중구,215만원 주5일 9시간 홍대개미 롯데백화점 광복점,10:00~22:00,"월급 2,150,000",3시간전
부산 중구,[주5일/215만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~22:00,"월급 2,150,000",4시간전
광주 서구,홍대개미상무점 주5일 홀서빙직원 구합니다.(급여 190만원),시간협의,"월급 1,900,000",5시간전
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",6시간전
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",6시간전
부산 부산진,[홍대개미] 주말 - 토일 주방알바,12:00~22:00,"시급 8,720",6시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급 8,720",7시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급 8,720",7시간전
부산 부산진,[홍대개미] 주말 - 토일 주방알바,12:00~22:00,"시급 8,720",8시간전
부산 부산진,[홍대개미] 주말 - 토일 주방알바,12:00~22:00,"시급 8,720",07/18
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",07/18
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",07/17
경기 안성시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 안성시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 평택시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 평택시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 평택시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
경기 안성시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
경기 안성시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
경기 평택시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
부산 북구,홍대개미 덕천점 정직원 구해요~,10:00~22:00,"시급 8,720",07/09
서울 용산구,[홍대개미 서울역사점] 주 3일 파트타임 모집,15:30~20:30,"시급 8,720",07/08
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급 1,850,000",07/06
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급 1,850,000",07/05
부산 북구,홍대개미 덕천점 아르바이트 모집,10:30~13:30,"시급 8,720",34분전
부산 중구,[주5일/215만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~22:00,"월급 2,150,000",51분전
서울 동대문,[주5일 주방 정직원 ] 홍대개미 청량리역사점 모집,시간협의,"월급 2,150,000",2시간전
서울 동대문,[주5일 주방 정직원 ] 홍대개미 청량리역사점 모집,시간협의,"월급 2,150,000",2시간전
부산 중구,215만원 주5일 9시간 홍대개미 롯데백화점 광복점,10:00~22:00,"월급 2,150,000",3시간전
부산 중구,[주5일/215만원]홍대개미 롯데백화점 광복점 주방정직원 모집,10:00~22:00,"월급 2,150,000",4시간전
광주 서구,홍대개미상무점 주5일 홀서빙직원 구합니다.(급여 190만원),시간협의,"월급 1,900,000",5시간전
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",6시간전
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",6시간전
부산 부산진,[홍대개미] 주말 - 토일 주방알바,12:00~22:00,"시급 8,720",6시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급 8,720",7시간전
경기 안산시,안산 홍대개미 홀서빙 아르바이트 모집,시간협의,"시급 8,720",7시간전
부산 부산진,[홍대개미] 주말 - 토일 주방알바,12:00~22:00,"시급 8,720",8시간전
부산 부산진,[홍대개미] 주말 - 토일 주방알바,12:00~22:00,"시급 8,720",07/18
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",07/18
광주 서구,[홍대개미 신세계백화점 광주점] 주5일 주방 정직원 모집,09:00~20:00,"월급 2,150,000",07/17
경기 안성시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 안성시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 평택시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 평택시,[시급9000원/주5일 평일] 홍대개미 스타필드 안성점 파트타이머 모집,시간협의,"시급 9,000",07/16
경기 평택시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
경기 안성시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
경기 안성시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
경기 평택시,[주5일/220만] 홍대개미 스타필드 안성점 주방직원 급구,11:00~21:00,"월급 2,200,000",07/16
부산 북구,홍대개미 덕천점 정직원 구해요~,10:00~22:00,"시급 8,720",07/09
서울 용산구,[홍대개미 서울역사점] 주 3일 파트타임 모집,15:30~20:30,"시급 8,720",07/08
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급 1,850,000",07/06
서울 광진구,[건대입구역 근처 홍대개미 스타시티점] 주 5 주방 정직원 모집,10:00~20:00,"월급 1,850,000",07/05
