place,title,time,pay,date
경기 용인시,온라인 쇼핑몰 업로드 지원 및 포장 관리 (정직원),08:30~18:00,"월급 2,000,000",28분전
경북 구미시,(주)씨에이치 구미봉곡지점에서 홀써빙 및 주방보조 모집합니다.,시간협의,"시급 8,720",28분전
인천 서구,아기식당 청라점 오후 배송사원 ( 파트타임) 모집,13:00~18:00,"시급 8,720",28분전
경기 성남시,마왕족발 모란점에서 함께 근무하실 참신한 새식구를 찾습니다.,12:00~00:00,"월급 2,800,000",28분전
경기 화성시,스타덤PC반월점 토/일 12시~20시 근무자 구합니다,시간협의,"시급 9,000",28분전
경기 화성시,스타덤PC반월점 금/토 24시~09시 근무자 구합니다,시간협의,"시급 10,464",28분전
경기 화성시,스타덤PC반월점 수/목 24시~09시 근무자 모집합니다.,24:00~09:00,"시급 10,464",28분전
인천 전체,쿡대디에서 함께 근무하실 참신한 새식구를 찾습니다.,10:30~14:30,"시급 9,000",1시간전
서울 강서구,트라타 앤 샐러드로우 마곡점에서 홀써빙 및 주방보조 모집합니다.,10:00~21:00,"시급 8,720",1시간전
인천 전체,쿡대디에서 홀써빙을 모집합니다.,10:30~14:30,"시급 9,000",1시간전
대전 서구,참숯향생선구이에서 홀써빙 및 주방보조 모집합니다.,11:00~14:00,"시급 8,720",1시간전
경기 광주시,맘스터치에서 홀써빙 모집합니다,18:30~22:00,"시급 8,720",1시간전
부산 연제구,"로드PC에서 금,토,일 밤에 함께할분을 찾습니다.",21:00~02:00,"시급 8,720",1시간전
대전 서구,"★본사직영★SK 텔레콤 대리점 / [남,여] 정직원 모집",10:00~20:00,"월급 3,000,000",1시간전
대전 서구,"[서구/유성구] ◆SK 텔레콤 대리점 ◆ [남,여] 정직원 모집",09:50~19:50,"월급 3,000,000",1시간전
서울 구로구,맘스터치 동양미래대점에서 홀써빙 및 주방보조 모집합니다.,16:00~22:00,"시급 8,720",1시간전
광주 서구,가성에서 홀써빙 및 주방보조 모집합니다.,11:00~15:00,"주급 216,000",1시간전
