place,title,time,pay,date
경기 부천시,[MIXXO 부천NC점] 주 3일(8시간) 스텝 모집,시간협의,"시급 8,720",1시간전
경기 하남시,[FOLDER 하남스타필드점] 주 2일(9시간) 스텝 모집,시간협의,"시급 8,720",5시간전
경기 하남시,[FOLDER 하남스타필드점] 주 5일(9시간) 스텝 모집,시간협의,"시급 8,720",5시간전
경기 안양시,[MIXXO 안양점] 주 3일(08시간) 스텝 모집,13:00~22:00,"시급 8,720",5시간전
경기 안산시,[MIXXO 안산점] 주 5일(7시간) 스텝 모집,시간협의,"시급 8,720",6시간전
경기 안산시,[MIXXO 안산점] 주 5일(7시간) 스텝 모집,시간협의,"시급 8,720",7시간전
경기 안산시,[MIXXO 안산점] 7월21일~7월25일 단기스텝 모집,시간협의,"시급 8,720",8시간전
경기 안양시,[MIXXO 안양점] 주 3일(08시간) 스텝 모집,13:00~22:00,"시급 8,720",07/18
전남 광양시,[스파오 광양점] 주 4일(28시간) STAFF 모집,시간협의,"시급 8,720",07/18
경기 성남시,[MIXXO 야탑점] 주 5일(8시간) 오전스텝 모집,시간협의,"시급 8,720",07/17
경기 성남시,[MIXXO 야탑점] 주 4/5일(7/8시간) 스텝 모집,시간협의,"시급 8,720",07/17
인천 남동구,[MIXXO 인천점] 주 4일(8시간) 스텝 모집,시간협의,"시급 8,720",07/16
서울 금천구,[FOLDER 마리오아울렛점] 주 5일 스텝 모집,10:00~21:30,"시급 8,720",07/15
경기 화성시,[스파오 동탄호수점] 주 3일(21시간) STAFF 모집,시간협의,"시급 8,720",07/14
서울 성북구,[MIXXO 성신유타점] 주 3일(8시간) 스텝 모집,시간협의,"시급 8,720",07/14
서울 성동구,[스파오 왕십리점] 주 3일(24시간) STAFF 모집,시간협의,"시급 8,720",07/14
경기 성남시,[MIXXO 야탑점] 주 4/5일(7/8시간) 스텝 모집,시간협의,"시급 8,720",07/13
서울 금천구,[MIXXO 가산마리오아울렛점] 주3일(주24시간) 아르바이트 모집,12:30~21:30,"시급 8,720",07/11
전북 전주시,[MIXXO 전주점] 주 2일(13시간) 스텝 모집,시간협의,"시급 8,720",07/11
경기 성남시,[MIXXO 야탑점] 단기 아르바이트 모집,시간협의,"시급 8,720",07/11
서울 중구,[MIXXO 명동점] 주 4일(8시간) 스텝 모집,12:00~21:00,"시급 8,720",07/10
전남 광양시,[스파오 광양점] 주 4일(28시간) STAFF 모집,시간협의,"시급 8,720",07/10
경기 안산시,[MIXXO 안산점] 주 5일(7시간) 스텝 모집,시간협의,"시급 8,720",07/10
경기 성남시,[MIXXO oo점] 7월 단기아르바이트 모집,시간협의,"시급 8,720",07/10
경기 안성시,[FOLDER 안성스타필드점] 7월 26일~8월 1일 단기 행사 스텝 모집,13:00~22:00,"시급 8,720",07/09
경기 안산시,[MIXXO 안산점] 주 5일(7시간) 스텝 모집,시간협의,"시급 8,720",07/09
서울 중구,[MIXXO 명동점] 주 4일(8시간) 스텝 모집,시간협의,"시급 8,720",07/09
광주 서구,[스파오 광주상무점] 주 4일(28시간) STAFF 모집,14:00~22:00,"시급 8,720",07/09
전남 광양시,[스파오 광양점] 주 3일(21시간) STAFF 모집,시간협의,"시급 8,720",07/08
전남 광양시,[스파오 광양점] 주 4일(28시간) STAFF 모집,시간협의,"시급 8,720",07/08
서울 금천구,[FOLDER 마리오아울렛점] 주 5일 스텝 모집,10:00~21:30,"시급 8,720",07/08
서울 금천구,[MIXXO 가산마리오아울렛점] 주3일(주24시간) 아르바이트 모집,12:30~21:30,"시급 8,720",07/07
경기 수원시,[FOLDER AK수원하이라이트] 주 5일 스텝 모집,09:30~18:30,"시급 8,720",07/07
광주 동구,[MIXXO 광주nc점] 주 3일(24시간) 스텝 모집,12:00~21:00,"시급 8,720",07/07
인천 남동구,[MIXXO 인천점] 주 5일(7시간) 스텝 모집,시간협의,"시급 8,720",07/07
전북 전주시,[MIXXO 전주NC점] 주말 (13시간) 스텝 모집,시간협의,"시급 8,720",07/07
인천 남동구,[MIXXO 인천점] 주 4일(8시간) 스텝 모집,시간협의,"시급 8,720",07/06
경기 수원시,[MIXXO 수원롯데점] 주 5일(8시간) 스텝 모집,시간협의,"시급 8,720",07/06
경북 경주시,[FOLDER 경주점] 주 5일 스텝 모집,12:00~21:00,"시급 8,720",07/06
경북 경주시,[FOLDER 경주점] 주 5일 스텝 모집,12:00~21:00,"시급 8,720",07/06
경기 안성시,[FOLDER 안성스타필드점] 7월 19일~25일 7일 단기 행사 스텝 모집,13:00~22:00,"시급 8,720",07/05
경기 안성시,[FOLDER 안성 스타필드점] 주 5일 스텝 모집,시간협의,"시급 8,720",07/05
경기 안성시,[FOLDER 안성스타필드점] 주말 스텝 모집,13:00~22:00,"시급 8,720",07/05
서울 금천구,[FOLDER 마리오아울렛점] 주 5일 스텝 모집,10:00~21:30,"시급 8,720",07/04
경기 성남시,[MIXXO 야탑점] 주 5일(7시간) 스텝 모집,시간협의,"시급 8,720",07/04
경기 수원시,[MIXXO 수원롯데점] 주 5일(8시간) 스텝 모집,14:00~22:00,"시급 8,720",07/04
경기 수원시,[FOLDER AK수원하이라이트] 주 5일 스텝 모집,09:30~18:30,"시급 8,720",07/03
