place,title,time,pay,date
경기 의정부,의정부 신곡점 계산 알바 모집,16:00~23:00,"시급 8,720",3분전
서울 동작구,GS더프레시 강남대치점 오전/오후 3명 채용,09:00~18:00,"시급 8,720",4분전
부산 부산진,GS수퍼부암점 조리  코너 직원모집,09:00~16:00,"시급 8,720",16분전
경기 남양주,직원 모집( 조리식품 ) 오전,10:00~14:00,"시급 8,720",18분전
인천 서구,가정루원시티점]오후 진열/계산 직원 모집[남자 우대],17:00~21:00,"시급 8,720",23분전
경기 남양주,"직원 모집( 토,일 ) 오후 계산",16:30~23:00,"시급 8,720",26분전
서울 강북구,매장내 진열 및 계산업무를 하실 직원을 모집합니다.,16:00~23:00,"시급 8,720",28분전
인천 서구,가정루원시티점 진열/계산 직원모집[오전],09:00~16:00,"시급 8,720",33분전
경기 수원시,GS수퍼마켓 수원매현점 사원 모집,09:00~16:00,"시급 8,720",48분전
대구 달성군,GS수퍼) 죽곡점에서 함께 일하실 직원 모집합니다,09:00~23:00,"시급 8,720",53분전
서울 동작구,GS더프레시 강남대치점 오전/오후 3명 채용,09:00~18:00,"시급 8,720",58분전
서울 광진구,"GS The Fresh 광나루점 채용공고(남, 여 무관)",09:00~16:00,"시급 8,720",58분전
경기 고양시,Gs수퍼마켓 고양벽제점 매니저 구인,10:30~13:30,"시급 10,000",1시간전
인천 서구,수퍼 진열 알바모집,09:00~14:00,"시급 8,720",1시간전
서울 전체,GS수퍼마켓 목동12점 월급제 직원모집,08:00~19:00,"월급 2,800,000",1시간전
경북 문경시,GS수퍼마켓 문경점 조리 코너 인원 모집,16:00~23:00,"시급 8,720",1시간전
서울 마포구,GS수퍼마켓)마포상암점   조리코너  인원 모집,시간협의,"시급 8,720",1시간전
서울 송파구,GS수퍼 송파2점 직원 모집 (계산대),14:00~22:00,"시급 8,720",1시간전
서울 광진구,"GS 수퍼마켓 광나루점 채용공고(남, 여 무관)",16:00~23:00,"시급 8,720",1시간전
서울 은평구,가족 같이 일할 참신한 분을 구합니다,16:00~23:00,"시급 8,720",1시간전
서울 강서구,오후조 계산원  구합니다,16:00~23:00,"시급 8,720",2시간전
서울 은평구,주말 아르바이트 구합니다.,08:00~15:00,"시급 8,720",2시간전
서울 강서구,오후 7~10시 (단기)진열알바구합니다,19:00~22:00,"시급 8,720",2시간전
강원 원주시,조리코너 구인,09:00~17:00,"시급 8,720",2시간전
충북 청주시,[오후] GS수퍼 주성점 진열사원 채용,시간협의,"월급 1,765,800",2시간전
경북 칠곡군,GS더프레시(GS수퍼마켓) 칠곡왜관점 직원 모집,시간협의,"시급 8,720",2시간전
인천 부평구,시간제 사원 모집(부평구 산곡동) - GS수퍼마켓 인천마장점,16:00~23:00,"시급 8,720",2시간전
경기 구리시,GS수퍼마켓 갈매중앙점 계산/진열 주 4일 근무자 구인,19:30~23:00,"시급 8,720",2시간전
