place,title,time,pay,date
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 주방 직원 모집합니다,17:00~22:30,"시급 8,720",4시간전
부산 중구,TGIF 롯데광복점 주방에서 함께 일할 분들을 모집합니다,11:00~21:30,"시급 10,440",5시간전
대전 서구,[TGIF롯데대전점] 조리파트 구인합니다.,시간협의,"시급 8,720",22시간전
대전 서구,[TGIF롯데대전점] 주방 아침청소파트 구인합니다.,07:00~09:00,"시급 8,720",22시간전
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 홀 직원 모집합니다,17:00~22:30,"시급 8,720",07/15
경기 수원시,TGI FRIDAYS 수원몰점에서 함께 일할 홀 직원 모집합니다,17:00~22:30,"시급 8,720",07/14
서울 노원구,"TGIF 노원점 [주방, 조리] 파트 모집",18:00~21:30,"시급 8,720",07/11
서울 송파구,"TGIF 잠실점 홀서빙, 주방조리 모집",00:00~24:00,"시급 8,720",07/09
부산 부산진,TGIF 서면점_주방에서 함께 근무할 직원 모집합니다.,시간협의,"시급 8,720",07/07
부산 중구,TGIF 롯데광복점 주방에서 함께 일할 분들을 모집합니다,11:00~21:30,"시급 8,720",07/07
서울 영등포,TGI FRIDAYS 롯데영등포점 주방 파트타이머 모집합니다,17:00~23:00,"시급 8,720",07/05
부산 부산진,TGIF 서면점_주방에서 함께 근무할 직원 모집합니다.,시간협의,"시급 8,720",07/04
