place,title,time,pay,date
충남 아산시,[트레이더스 천안아산점]마감 주5일 스태프모집(주말근무가능자),15:00~23:00,"시급 9,990",9분전
서울 성동구,[이마트일산점] 주5일 스태프35 모집 안내,08:00~23:00,"시급 9,900",22분전
서울 노원구,[트레이더스 월계점] 주 14시간 스태프 모집,09:00~17:00,"시급 10,940",38분전
서울 송파구,"[이마트 가든5점] 스태프35 모집(주 5일 근무, 시급 9,990원)",08:00~23:00,"시급 9,990",40분전
경기 수원시,[이마트 트레이더스 수원점] 스태프 사원 모집(주5일) / 단기 2개월,00:00~23:00,"시급 9,990",1시간전
경남 김해시,[이마트 김해점] 주말 스태프(주2일근무)  모집,시간협의,"시급 10,940",1시간전
서울 노원구,[트레이더스 월계점] 주 14시간 스태프 모집,09:00~17:00,"시급 10,940",2시간전
서울 은평구,이마트 트레이더스 고양점 사원 모집(주말사원 포함),00:00~24:00,"시급 10,940",2시간전
경기 군포시,이마트 트레이더스 군포점 STAFF 모집,06:00~23:00,"시급 9,990",2시간전
서울 노원구,[트레이더스 월계점] 주5일 근무 스태프 모집,07:00~15:00,"시급 9,990",2시간전
강원 동해시,[이마트 동해점] 주5일(35) 스태프 모집안내,07:00~15:00,"시급 9,990",2시간전
충남 아산시,[트레이더스 천안아산점]마감 주5일 스태프모집(주말근무가능자),15:00~23:00,"시급 9,990",3시간전
경기 고양시,이마트 트레이더스 고양점 주말 사원 모집(토/일 근무),00:00~24:00,"시급 10,940",3시간전
부산 전체,[이마트사상점] 주말스태프(주2일근무) 모집 안내,09:00~17:00,"시급 10,940",4시간전
경기 이천시,이마트 이천점 스태프 35 모집(시급:9990원 /가공(진열)/ 캐셔 ),09:00~17:00,"시급 9,990",4시간전
충남 아산시,[트레이더스 천안아산점]주5일 스태프모집(주말근무가능자),00:00~23:00,"시급 9,990",4시간전
경기 하남시,［토이킹덤］스타필드시티 위례점 staff35모집 (주5일),10:00~22:00,"시급 9,990",5시간전
경기 의왕시,[이마트의왕점] 6개월 주5일 스태프35 모집,09:00~17:00,"시급 9,990",7시간전
인천 동구,[이마트 트레이더스 송림점] 캐셔 스태프 사원모집(주말),09:00~23:00,"시급 10,940",20시간전
부산 부산진,[트레이더스 서면점] 단기 2개월 STAFF사원모집 (주5일 근무),06:00~23:00,"시급 9,990",07/18
