place,title,time,pay,date
대구 달성군,크라운호프 대구다사죽곡점  수요일 목요일 1명 가족구함 런할거면 연락 ㄴㄴ,시간협의,"시급 8,720",8분전
부산 사하구,크라운호프 하단동아대점 주방아르바이트모집,21:00~22:00,"시급 9,000",11분전
대구 달서구,"크라운호프 대구 용산점에서 평일,주말 직원구합니당",20:00~04:00,"시급 9,000",35분전
전북 김제시,직원구함,05:00~11:00,"시급 9,000",43분전
대구 동구,크라운호프이시아폴리스점에서 평일 홀서빙 구합니다,19:30~02:00,"시급 9,000",1시간전
경남 진주시,크라운호프 진주혁신점 주방 알바분 구해엽,20:00~24:00,"시급 9,000",2시간전
인천 계양구,"크라운호프 임학점  홀서빙 수,목,금,일(주4일) 직원 구합니다.",15:30~22:30,"시급 9,000",2시간전
부산 남구,크라운호프 주방매니저 모집,17:30~02:00,"시급 8,720",3시간전
전북 전주시,크라운호프 전주에코2호점에서 주말홀 아르바이트를 모집합니다.,20:00~02:00,"시급 9,000",3시간전
인천 미추홀,크라운호프(주안북부점)주방모집,17:30~22:30,"시급 10,000",4시간전
전북 김제시,직원구함,05:00~11:00,"시급 9,000",4시간전
전북 김제시,홀써빙,07:00~02:00,"시급 9,500",4시간전
충남 천안시,크라운호프 천안두정점에서 직원을 모집합니다,18:00~05:00,"월급 2,510,000",5시간전
광주 북구,크라운호프 첨단2지구점 홀서빙및주방보조 하실분 찾아요,시간협의,"시급 9,000",5시간전
경북 구미시,크라운호프 구미 문성점 -주방및 주방보조,18:00~00:00,"월급 2,000,000",5시간전
경북 김천시,[크라운호프 김천혁신점] 함께할 알바구해요,17:00~02:00,"시급 8,720",5시간전
경남 진주시,크라운호프 진주혁신점 주방 알바분 구해엽,20:00~24:00,"시급 9,000",6시간전
강원 속초시,크라운호프  속초조양점 주방 업무,18:00~24:00,"월급 1,800,000",6시간전
경북 포항시,[크라운호프 문덕점]함께 시작해서 함께 커나갈 오픈 멤버 모집,시간협의,"시급 9,000",6시간전
대전 유성구,경성주막 1929 대전 관평점 서빙알바,시간협의,"시급 9,000",7시간전
경북 김천시,[크라운호프 김천혁신점] 함께할 알바구해요,17:00~02:00,"시급 8,720",8시간전
경북 김천시,[크라운호프김천혁신점]과 함께할 주방직원구해요,17:00~02:00,"월급 2,400,000",8시간전
경남 진주시,크라운호프 진주혁신점 주방 알바분 구해엽,20:00~24:00,"시급 9,000",8시간전
제주 제주시,크라운호프 제주연동점  홀서빙구함.,20:00~23:00,"시급 9,000",8시간전
울산 남구,크라운호프에서 파트타임 홀서빙 아르바이트를 모집합니다,22:00~23:00,"시급 9,200",8시간전
전북 전주시,급 주방실장님구합니다,16:00~02:00,"월급 2,300,000",20시간전
울산 남구,크라운호프 울산삼산현대점 평일 홀 아르바이트 모집,20:00~11:00,"시급 8,720",07/18
인천 부평구,주말 알바 및 주방 직원 구합니다.,19:00~21:00,"시급 9,500",07/18
경남 김해시,30세이상주방실장구함.급여270만원.월4회휴무,17:00~03:00,"시급 10,000",07/18
울산 전체,크라운 호프 병영점  파트타임 아르바이트,19:00~24:00,"시급 9,000",07/18
인천 계양구,크라운호프 인천동양점 주방 직원 모집합니다,19:00~24:00,"시급 9,000",07/17
인천 계양구,"크라운호프 임학점  홀서빙 수,목,금,일(주4일) 직원 구합니다.",15:30~22:30,"시급 9,000",07/17
전북 전주시,크라운호프 효자1호점  함께일할 직원을 모집합니다.,20:00~04:00,"시급 9,000",07/16
울산 북구,홀서빙알바구함,시간협의,"시급 9,500",07/16
전북 완주군,봉동 크라운호프점 홀서빙,19:00~01:00,"시급 9,000",07/16
전북 전주시,크라운호프 호성점 주말 평일알바구합니다,시간협의,"시급 8,720",07/16
부산 동래구,크라운호프 동래점  주방직원모집 및 알바모집,19:00~24:00,"시급 8,720",07/16
부산 동래구,크라운호프 동래점  주방직원모집 및 알바모집,19:00~24:00,"시급 8,720",07/16
부산 동래구,크라운호프 동래점  주방직원모집 및 알바모집,19:00~24:00,"시급 8,720",07/16
광주 서구,금호점 홀알바.주방.직원,시간협의,"시급 9,000",07/16
서울 강서구,"(주방, 10:30~22:30) 320만원 크라운호프 마곡나루 주방 직원",10:30~22:30,"월급 3,200,000",07/16
전북 전주시,크라운호프 호성점 주말 평일알바구합니다,시간협의,"시급 8,720",07/15
전북 전주시,크라운호프 매니져구함,15:30~02:00,"월급 2,400,000",07/15
대구 달서구,"크라운호프 대구 광장코아 수목, 금토 홀 서빙 모집합니다.",시간협의,"시급 8,720",07/15
경기 안양시,크라운호프 관양점 주방보조 알바 구합니다,시간협의,"시급 9,500",07/14
울산 전체,크라운 호프 병영점  파트타임 아르바이트,19:00~24:00,"시급 9,000",07/14
전남 여수시,알바 모집합니다,19:00~24:00,"시급 10,000",07/13
울산 울주군,크라운호프 천상점  주방 모집합니다.,19:00~02:00,"시급 9,000",07/12
광주 서구,크라운호프 광주상무점 금토일 서빙 구합니다즐겁고 가족같은 분위기,20:00~01:00,"시급 9,000",07/12
광주 서구,크라운호프 상무점 주방 알바 구합니다(외국인가능)  화수금토 19-24~01,19:00~01:00,"시급 9,000",07/12
광주 서구,크라운호프 광주상무점 주 5일 홀직원 구합니다 20-05,20:00~05:00,"월급 1,710,000",07/12
전북 전주시,크라운호프 전주에코2호점에서 주말홀 아르바이트를 모집합니다.,20:00~02:00,"시급 9,000",07/12
인천 부평구,크라운호프 삼산점 홀서빙 모집합니다.,시간협의,"시급 9,000",07/12
인천 부평구,크라운호프 삼산점 주방보조 모집합니다,17:00~23:00,"월급 1,500,000",07/12
광주 북구,"크라운호프 광주운암점 [홀서빙] (금,토) (토,일)주말 알바 모집",20:00~03:00,"시급 8,720",07/11
광주 광산구,"광주 신창점 크라운호프 (토,일 ) 홀서빙",18:00~23:00,"시급 8,800",07/11
대구 달서구,"크라운호프 대구 용산점에서 평일,주말 직원모집",20:00~04:00,"시급 9,000",07/11
광주 서구,금호점 홀알바.주방.직원,시간협의,"시급 9,000",07/11
전남 순천시,아르바이트 모집,21:00~03:00,"시급 9,000",07/11
광주 북구,크라운호프 첨단2지구점 홀서빙및주방보조 할하실분 찾아요,시간협의,"시급 9,000",07/10
서울 강서구,시급1만원 평일 오후7시반-10시반 주방 보조 모집,19:30~22:30,"시급 10,000",07/10
광주 서구,금호점 홀알바,18:00~03:00,"시급 9,000",07/10
광주 광산구,크라운호프 광주하남2지구  파트타임,시간협의,"시급 9,000",07/09
울산 중구,크라운호프 성안점에서 홀 알바 구합니다.,시간협의,"시급 9,000",07/09
전남 나주시,크라운호프 홀서빙 월-토 파트타임  구합니다,20:00~23:00,"시급 9,200",07/09
인천 동구,크라운호프송림점 주방보조,시간협의,"시급 9,000",07/09
충남 천안시,천안 크라운호프 쌍용로데오점 홀서빙 알바 구합니다,시간협의,"시급 9,000",07/09
충남 천안시,천안 크라운호프 쌍용로데오점 주말 홀서빙 알바 구합니다,19:00~22:00,"시급 9,000",07/09
울산 울주군,크라운호프 울산 덕신점 홀서빙 아르바이트 모집합니다.,시간협의,"시급 8,800",07/08
강원 원주시,크라운 호프 원주 단계점 평일 주말 홀서빙 알바 모집 합니다,시간협의,"시급 9,000",07/08
인천 계양구,크라운호프경인교대점 주말알바구합니다,19:30~22:30,"시급 8,720",07/08
광주 남구,[크라운호프 봉선점]  평일 주방인원 모집합니다,18:00~01:00,"시급 10,000",07/08
경기 안양시,크라운호프 관양점 주방보조 알바 구합니다,시간협의,"시급 9,500",07/07
인천 남동구,크라운호프 만수3지구점 주방보조 구합니다,18:00~23:00,"월급 1,300,000",07/07
광주 남구,[크라운호프 봉선점]  평일 홀서빙인원 (20시~02시)모집합니다,20:00~01:00,"시급 9,000",07/06
경기 수원시,곡반정동 크라운호프  홀매니저 및 서빙알바 모집합니다.,시간협의,"시급 9,000",07/06
인천 계양구,크라운호프경인교대점 평일오픈홀써빙 구합니다,17:00~22:30,"시급 8,720",07/06
서울 강서구,평일 오후7시반~10시반 아르바이트 모집,19:30~22:30,"시급 9,500",07/06
서울 강서구,주말 오후7시반~10시반 아르바이트 모집,19:30~22:30,"시급 9,500",07/06
서울 강서구,평일 오후6시~10시 아르바이트 모집,18:00~22:00,"시급 9,500",07/06
