place,title,time,pay,date
서울 광진구,(월급 300만원) 귀한족발 중곡점에서 족실장님 모십니다,시간협의,"월급 3,000,000",6시간전
서울 용산구,귀한족발용산점  알바구함.,17:00~23:00,"시급 8,720",7시간전
서울 용산구,귀한족발용산점  알바구함.,17:00~23:00,"시급 8,720",7시간전
서울 용산구,귀한족발용산점  알바구함.,17:00~23:00,"시급 8,720",7시간전
서울 성북구,귀한족발 성신여대 본점에서 야간 족실장님을 모십니다,16:00~03:00,"월급 2,800,000",7시간전
서울 성북구,귀한족발 성신여대 본점 홀서빙 아르바이트 및 직원 모집,17:00~22:00,"시급 9,000",7시간전
경기 화성시,귀한족발 동탄점 족실장 및 주방보조 구합니다,11:00~23:00,"월급 2,800,000",07/18
경기 화성시,귀한족발 동탄점 족실장 및 주방보조 구합니다,11:00~23:00,"월급 2,800,000",07/18
전남 여수시,귀한족발 여수점에서 홀직원 구합니다,12:00~22:00,"월급 2,500,000",07/13
전남 여수시,귀한족발 여수점에서 홀직원 구합니다,12:00~22:00,"월급 2,500,000",07/13
전남 여수시,귀한족발 여수점 홀알바 구합니다,15:00~22:00,"시급 9,800",07/13
전남 여수시,귀한족발 여수점 홀알바 구합니다,15:00~22:00,"시급 9,800",07/13
서울 서초구,귀한족발 반포점 홀 알바 구해요,16:00~23:00,"시급 9,500",07/09
서울 서초구,귀한족발 반포점 주방직원 구해요,12:00~23:00,"월급 2,700,000",07/09
서울 전체,귀한족발 반포점 홀 직원 구해요,14:00~02:00,"월급 2,800,000",07/09
경기 파주시,[귀한족발 운정점] 주방 직원 구합니다,시간협의,"월급 2,500,000",07/09
