place,title,time,pay,date
서울 영등포,[길동우동] 신길점에서 분식 조리하실분 모집,10:00~22:00,"월급 2,500,000",07/12
서울 영등포,[길동우동] 신길점에서 함께 일할 직원을 모집합니다.,10:00~22:00,"월급 2,500,000",07/12
서울 영등포,[길동우동] 신길점에서 책임감있게 근무하실 분을 모집합니다.,10:00~22:00,"월급 2,500,000",07/12
경기 남양주,길동우동 다산점에서 주방일하실분 구합니다,시간협의,"월급 2,700,000",07/11
경기 남양주,길동우동 다산점에서 가족같이 일할 직원을 구합니다.,시간협의,"월급 2,700,000",07/11
경기 남양주,길동우동 다산점에서 직원을 구합니다.,시간협의,"월급 2,700,000",07/11
충남 서산시,[길동우동] 서산점 분식 조리 직원을 모집합니다.,시간협의,"월급 2,500,000",07/11
경기 김포시,[길동우동] 김포 사우점에서 함께 일할 가족을 구합니다.,시간협의,"월급 2,500,000",07/09
경기 김포시,[길동우동] 김포 사우점에서 함께 일할 직원을 모집합니다.,시간협의,"월급 2,500,000",07/09
경기 김포시,[길동우동] 김포 사우점이 신규 오픈합니다 .,시간협의,"월급 2,500,000",07/09
서울 전체,[ 길동우동 ] 함께 근무할 SV 모집합니다.,09:00~18:00,"연봉 28,000,000",07/09
서울 전체,"[ 길동우동 ] 가맹점 관리, 신규 오픈 직원 모집",09:00~18:00,"연봉 28,000,000",07/09
서울 노원구,길동우동 공릉점 분식 주방직원 모집합니다. (월 260만),시간협의,"월급 2,600,000",07/06
서울 노원구,길동우동 공릉점 조리직원 모집합니다. (급여 260만),시간협의,"월급 2,600,000",07/06
서울 노원구,길동우동 공릉점 김밥이모 모집합니다. (급여 260만),시간협의,"월급 2,600,000",07/06
