place,title,time,pay,date
서울 은평구,[시1만]주방알바 모집,18:00~23:00,"시급 10,000",1시간전
서울 은평구,[두찜 은평역촌점] 주방직원채용,11:00~22:00,"월급 2,500,000",1시간전
전남 해남군,두찜해남점 주방보조 알바구해요,17:00~22:00,"시급 9,000",1시간전
경남 양산시,중부점 주6일 오후,18:00~23:00,"시급 9,500",2시간전
경북 포항시,"평일 오전, 주말 오전 주방 아르바이트(문자 경력사항 필수 기재)",11:00~17:00,"시급 8,720",3시간전
경기 광명시,시급9000원)두찜 광명역점 홀서빙 및 주방보조 모집,18:00~22:30,"시급 9,000",3시간전
서울 전체,배달전문찜닭 두찜에서 함께일할 직원을 모집합니다.,10:30~22:30,"월급 2,500,000",4시간전
경북 포항시,평일저녁 5시부터 8시 아르바이트 모집.,17:00~20:00,"시급 8,720",6시간전
경북 포항시,평일저녁 5시부터 8시 아르바이트 모집.,17:00~20:00,"시급 8,720",6시간전
서울 영등포,서울 영등포당산점 주3일 오후 알바 구합니다.,15:00~22:00,"시급 8,720",19시간전
부산 연제구,두찜 부산거제점 정직원 구합니다,11:00~21:00,"월급 2,000,000",07/18
부산 연제구,두찜 부산거제점 평일 아르바이트 구합니다,20:30~23:00,"시급 9,000",07/18
경기 광명시,시급9000원)두찜 광명역점 홀서빙 및 주방보조 모집,18:00~22:30,"시급 9,000",07/17
충북 청주시,두찜 청주분평점 주말알바모집합니다~,17:00~21:00,"시급 8,900",07/17
경북 포항시,두찜 오전 주방 아르바이트 모집(평일),11:00~17:00,"시급 8,720",07/17
서울 마포구,두찜 마포수점 주말 오후 알바 모집합니다,17:30~21:30,"시급 9,300",07/16
경기 전체,[두찜안얀명학점] 주말알바 채용,18:00~22:00,"시급 9,000",07/16
경기 성남시,두찜분당수내점에서 주말 알바 모십니다,12:00~18:00,"시급 9,000",07/16
경남 창원시,두찜 상남점에서 새로운 직원을 모집합니다(평일오전반),11:00~15:00,"시급 8,720",07/15
경기 수원시,함께 일할 주방직원 및 알바 모집합니다(완전 초보가능),시간협의,"시급 9,000",07/13
경기 전체,[두찜안양명학점] 직원 채용합니다.,11:00~23:00,"월급 2,500,000",07/12
서울 마포구,두찜 마포신수점 주방직원 구합니다,11:00~23:00,"월급 2,500,000",07/12
서울 용산구,두찜 용산원효점 평일점심 주방직원 구해요,10:30~14:30,"시급 11,500",07/12
서울 용산구,"두찜 용산원효점 홀,포장 알바 구해요",18:00~23:00,"시급 10,500",07/12
서울 용산구,두찜 용산원효점 평일점심 주방직원 구해요,10:30~14:30,"월급 950,000",07/12
서울 마포구,두찜 마포신수점 오후 직원구합니다,16:30~23:00,"월급 1,500,000",07/10
경남 창원시,두찜 상남점에서 새로운 직원을 모집합니다(주말반),17:00~20:00,"시급 8,720",07/09
부산 사하구,"두찜 괴정점 금,토,일 아르바이트 구합니다",17:00~22:00,"시급 9,300",07/09
경북 포항시,평일저녁 5시부터 8시 아르바이트 모집.,17:00~20:00,"시급 8,720",07/08
서울 강서구,두찜 두마리찜닭 강서등촌점 직원(홀 및 주방보조) 한분 구합니다~,11:00~23:00,"월급 2,700,000",07/08
서울 강남구,[월 270만원] 마감 주방 직원 구합니다,15:00~01:00,"월급 2,700,000",07/07
