place,title,time,pay,date
서울 중구,러쉬 명동역점에서 함께 일할 파트타이머분을 구합니다.,시간협의,"시급 10,790",6분전
서울 성북구,[러쉬코리아] 현대백화점 미아점 파트타이머 채용,12:00~20:00,"시급 10,790",42분전
광주 서구,신세계광주 러쉬 매장에서 파트타이머 구합니다.,09:30~20:30,"시급 10,790",3시간전
전북 전주시,롯데백화점 전주점 러쉬에서 파트타이머를 구합니다.,09:30~20:30,"시급 10,790",3시간전
대전 유성구,[러쉬 코리아] 신세계 엑스포점 파트타이머 채용,시간협의,"시급 10,790",6시간전
대전 유성구,[러쉬 코리아] 신세계 엑스포점 파트타이머 채용,시간협의,"시급 10,790",6시간전
인천 전체,(주)러쉬코리아 현대송도점과 함께 할 해피피플을 찾습니다.,10:00~21:30,"시급 10,790",6시간전
대전 서구,러쉬 대전 갤러리아 타임월드점에서 해피피플을 찾습니다,10:00~20:30,"시급 10,790",8시간전
서울 전체,LUSH 신세계강남점에서 함께 일할 아르바이트를 구합니다,09:00~21:00,"시급 10,790",07/17
경기 부천시,[러쉬코리아] 현대중동점 러쉬 아르바이트 채용공고,시간협의,"시급 10,790",07/17
서울 강동구,스타필드하남 1층 러쉬에서 파트타이머 스텝을 구합니다.,시간협의,"시급 10,790",07/16
서울 강남구,압구정1호점 매장 파트타이머(판매) 모집,13:00~22:00,"시급 10,790",07/16
경기 화성시,(주)러쉬 코리아 롯데백화점 동탄점과 함께 할 해피피플을 찾습니다.,시간협의,"시급 10,790",07/16
전국 전체,러쉬코리아 AK수원점 아르바이트 모집,시간협의,"시급 10,790",07/15
서울 강남구,(러쉬) 현대백화점 압구정점 아르바이트 채용,09:30~20:30,"시급 10,790",07/14
경기 화성시,(주)러쉬 코리아 롯데백화점 동탄점과 함께 할 해피피플을 찾습니다.,시간협의,"시급 10,790",07/11
서울 중구,신세계본점 러쉬와 함께할 해피피플을 찾습니다,09:30~20:30,"시급 10,790",07/04
부산 전체,[러쉬코리아]롯데부산본점(서면) 파트타이머 공고(hwp한글 파일X),시간협의,"시급 10,790",07/04
