place,title,time,pay,date
서울 강서구,롭스 화곡점에서 평일/주말  메이트 모집합니다,20:00~23:00,"시급 8,720",7분전
충남 부여군,롭스 부여아울렛점 주말 오후 메이트 모집합니다.,13:30~21:00,"시급 8,720",14분전
경기 수원시,"[급구,단기]롭스 수원몰점 평일 오전 단기 메이트 구합니다.",10:30~18:00,"시급 8,720",25분전
충남 천안시,롭스 천안터미널점에서 평일 오후 메이트를 모집합니다.,17:00~23:00,"시급 8,720",37분전
부산 부산진,롭스 서면부전점과 함께할 평일 오후 MATE 모집합니다.,17:30~22:00,"시급 8,720",40분전
서울 관악구,롭스 구로점 평일 오후 메이트 모집합니다.,13:00~18:30,"시급 8,720",1시간전
경기 이천시,롭스 이천점 평일(주5일) 마감타임 아르바이트 구인,15:30~21:30,"시급 8,720",2시간전
전북 군산시,롭스 군산수송점 주말 마감 메이트 모집합니다.,17:30~22:00,"시급 8,720",2시간전
서울 중구,[급구]롭스 을지로역사점 [주말오전] 구합니다.,09:00~13:30,"시급 8,720",2시간전
부산 부산진,롭스 서면부전2호점 평일 오픈 메이트 모집합니다.,11:00~15:30,"시급 8,720",2시간전
서울 송파구,롭스 잠실점 평일 마감 메이트 모집합니다,15:30~21:00,"시급 8,720",3시간전
부산 부산진,롭스 서면부전2호점 평일 오픈 메이트 모집합니다.,11:00~15:30,"시급 8,720",4시간전
경기 광명시,[롭스 광명아울렛점] 평일 오후 파트타이머 모집,13:30~19:00,"시급 8,720",07/18
경기 이천시,롭스 이천점 평일 마감타임 아르바이트 구인,15:30~21:30,"시급 8,720",07/17
서울 금천구,롭스 롯데마트금천점 주말 오전메이트 모집합니다.,10:00~15:30,"시급 8,720",07/17
서울 강남구,"롭스 신논현점 주말 (토,일) 마감 메이트 모집합니다.",16:00~23:00,"시급 8,720",07/16
서울 송파구,롭스 월드몰1호점 주말 오전 메이트 모집합니다.,10:00~15:30,"시급 8,720",07/12
부산 금정구,롭스 부산대점 평일오전 메이트 모집합니다.,11:00~15:30,"시급 8,720",07/12
서울 송파구,롭스 잠실캐슬점 평일 마감 메이트 모집합니다:),17:00~22:30,"시급 8,720",07/09
경기 남양주,"비바건강마켓 남양주진접점 진열 및 상품관리, 판촉, 계산보조",13:00~21:00,"시급 8,750",07/06
