place,title,time,pay,date
서울 송파구,마왕족발 방이점에서 함께 근무할 직원 구합니다 ( 직영 ),15:00~24:00,"월급 2,500,000",25분전
경기 파주시,마왕족발 금릉역점에서 주말 알바 모집합니다,시간협의,"시급 10,000",3시간전
경기 파주시,"(주5일 가능)마왕족발 금릉역점 홀서빙, 주방 알바 모집합니다",17:00~01:00,"시급 10,000",3시간전
인천 연수구,인천 마왕족발 연수점 평일  아르바이트생 구합니다~,15:00~23:00,"시급 10,464",5시간전
대전 서구,둔산동 마왕족발 직원 및 알바 구합니다.,11:00~20:00,"월급 2,630,000",07/17
대전 서구,둔산동 마왕족발 직원 및 알바 구합니다.,11:00~20:00,"월급 2,630,000",07/17
대전 서구,둔산동 마왕족발 직원 및 알바 구합니다.,11:00~20:00,"월급 2,630,000",07/17
대전 서구,둔산동 마왕족발 직원 및 알바 구합니다.,11:00~20:00,"월급 2,630,000",07/17
인천 연수구,인천 마왕족발 연수점(직영) 주말 아르바이트 구합니다,17:00~01:00,"시급 10,464",07/17
인천 연수구,인천 마왕족발 연수점(직영)주방 평일 아르바이트 구합니다,15:00~23:00,"시급 10,464",07/17
서울 송파구,마왕족발 방이점에서 함께 근무할 직원 구합니다 ( 직영 ),15:00~24:00,"월급 2,500,000",07/16
서울 금천구,마왕족발 독산점 직원 구합니다.,16:00~01:00,"월급 2,200,000",07/16
경기 부천시,마왕족발 부천본점 야간 파트타이머 모집,20:00~01:00,"시급 10,464",07/14
경기 부천시,마왕족발 부천본점 파트타이머 채용,20:00~01:00,"시급 10,464",07/14
경기 성남시,마왕족발 정자본점에서 직원분을 기다립니다.,15:00~24:00,"월급 2,500,000",07/12
경기 부천시,마왕족발 부천본점 직원 채용,16:00~01:00,"월급 2,290,000",07/11
경기 하남시,마왕족발 월250 직원 구해요(경력우대),15:00~24:00,"월급 2,300,000",07/08
경기 부천시,마왕족발 부천본점 주말 야간 파트타이머 모집,18:00~01:00,"일급 61,040",07/07
경기 화성시,마왕족발 동탄호수공원점에서 주말 아르바이트 구합니다,15:00~24:00,"시급 11,000",07/05
