place,title,time,pay,date
서울 강남구,"[시급10,470원] 매드포갈릭 도곡점 주방 주말 아르바이트 구함",12:00~21:00,"시급 10,470",10분전
전국 전체,(주방) 매드포갈릭 합정점에서 주방 아르바이트 모집합니다.,12:00~21:00,"시급 10,470",19분전
전국 전체,(주방) 매드포갈릭 합정점에서 주방 아르바이트 모집합니다.,12:00~21:00,"시급 10,470",27분전
서울 강남구,"[시급 10,470원] 매드포갈릭 도곡점 홀 주말 아르바이트 구함",12:00~21:00,"시급 10,470",48분전
전국 전체,(주방) 매드포갈릭 합정점에서 주방 아르바이트 모집합니다.,12:00~21:00,"시급 10,470",1시간전
경남 창원시,매드포갈릭 창원점(주방)에서 파트타이머를 모집합니다,17:30~21:00,"시급 10,470",2시간전
울산 전체,"[주방] [시급10,470원] 주 4일  8시간 매드포갈릭 아르바이트 모집",12:00~21:00,"시급 8,720",2시간전
서울 서초구,[강남역]매드포갈릭 삼성타운점 알바모집,18:00~21:00,"시급 10,470",3시간전
전국 전체,(주방) 매드포갈릭 합정점에서 주방 아르바이트 모집합니다.,12:00~21:00,"시급 10,470",5시간전
울산 전체,"[주방] [시급10,470원] 주 4일 풀타임 매드포갈릭 아르바이트 모집",12:00~21:00,"시급 8,720",5시간전
서울 전체,매드포갈릭 영등포타임스케어점 주방 오픈조 파트타이머 모집,09:00~15:00,"시급 10,470",5시간전
울산 전체,"[주방] [시급10,470원] 주 4일 풀타임 매드포갈릭 아르바이트 모집",12:00~21:00,"시급 8,720",5시간전
부산 해운대,"[매드포갈릭해운대점](10,470원) 주방 아르바이트 구합니다",시간협의,"시급 10,470",6시간전
부산 해운대,"[매드포갈릭해운대점](10,470원) 주방 아르바이트 구합니다",시간협의,"시급 10,470",7시간전
부산 해운대,"[매드포갈릭해운대점](10,470원) 주방 아르바이트 구합니다",시간협의,"시급 10,470",7시간전
인천 연수구,매드포갈릭 인천송도점에서 홀 아르바이트(오픈)을 모집합니다.,11:00~14:00,"시급 8,720",8시간전
서울 전체,매드포갈릭 영등포타임스케어점 주방 오픈조 파트타이머 모집,09:00~15:00,"시급 10,470",07/18
울산 전체,"[주방] [시급10,470원] 주 4일 풀타임 매드포갈릭 아르바이트 모집",12:00~21:00,"시급 8,720",07/17
