place,title,time,pay,date
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",1분전
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도",시간협의,"시급 8,720",9분전
경기 성남시,"VIPS판교점에서 근무할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",7시간전
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",7시간전
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/17
서울 서초구,"VIPS 반포역점 주방 아르바이트 공고 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/16
서울 서초구,"VIPS 반포역점 주방 아르바이트 공고 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/16
경기 성남시,"VIPS판교점에서 함께할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/16
경기 성남시,"VIPS판교점에서 함께할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/14
서울 동작구,"빕스 대방점 스탭 모집합니다 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/14
경기 성남시,"VIPS판교점에서 함께할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/12
서울 동작구,"VIPS대방점 주방 스탭사원모집 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/12
서울 송파구,"[시급10,680원_주휴수당포함] 13~22시 근무자/요일협의 가능/딜리송파",13:00~22:00,"시급 10,680",07/11
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/10
서울 동작구,"빕스 대방점 평일 주방 스탭 모집 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/09
경기 성남시,"VIPS판교점에서 함꼐할 가족을 모집합니다. 시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/09
경기 성남시,"VIPS판교점에서 STAFF 사원들 모집합니다.시급8,720원(주휴수당 별도",시간협의,"시급 8,720",07/07
서울 송파구,"주방스텝사원모집/근무요일,시간협의가능/시급10,560원(주휴포함)",시간협의,"시급 8,800",07/07
서울 송파구,"딜리버리 송파점/주방스텝모집/요일,시간협의가능/시급 10,560원(주휴포함)",시간협의,"시급 10,560",07/07
서울 성북구,"빕스 미아점 주방스탭 채용 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/06
서울 성북구,"빕스 미아점 홀 스탭사원(신입/경력) 시급 10,464원(주휴수당 포함)",시간협의,"시급 8,720",07/05
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다. 시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/05
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다. 시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/05
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/04
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",1분전
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도",시간협의,"시급 8,720",9분전
경기 성남시,"VIPS판교점에서 근무할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",7시간전
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",7시간전
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/17
서울 서초구,"VIPS 반포역점 주방 아르바이트 공고 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/16
서울 서초구,"VIPS 반포역점 주방 아르바이트 공고 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/16
경기 성남시,"VIPS판교점에서 함께할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/16
경기 성남시,"VIPS판교점에서 함께할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/14
서울 동작구,"빕스 대방점 스탭 모집합니다 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/14
경기 성남시,"VIPS판교점에서 함께할 스텝을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/12
서울 동작구,"VIPS대방점 주방 스탭사원모집 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/12
서울 송파구,"[시급10,680원_주휴수당포함] 13~22시 근무자/요일협의 가능/딜리송파",13:00~22:00,"시급 10,680",07/11
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/10
서울 동작구,"빕스 대방점 평일 주방 스탭 모집 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/09
경기 성남시,"VIPS판교점에서 함꼐할 가족을 모집합니다. 시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/09
경기 성남시,"VIPS판교점에서 STAFF 사원들 모집합니다.시급8,720원(주휴수당 별도",시간협의,"시급 8,720",07/07
서울 송파구,"주방스텝사원모집/근무요일,시간협의가능/시급10,560원(주휴포함)",시간협의,"시급 8,800",07/07
서울 송파구,"딜리버리 송파점/주방스텝모집/요일,시간협의가능/시급 10,560원(주휴포함)",시간협의,"시급 10,560",07/07
서울 성북구,"빕스 미아점 주방스탭 채용 시급 8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/06
서울 성북구,"빕스 미아점 홀 스탭사원(신입/경력) 시급 10,464원(주휴수당 포함)",시간협의,"시급 8,720",07/05
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다. 시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/05
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다. 시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/05
경기 성남시,"VIPS판교점에서 함께할 가족을 모집합니다.시급8,720원(주휴수당 별도)",시간협의,"시급 8,720",07/04
