place,title,time,pay,date
충남 천안시,상무초밥 신불당점 평일 12시~17시 파트타이머 오세용,12:00~17:00,"시급 8,720",12분전
충남 천안시,"상무초밥 신불당점 찬모,설거지 이모님 구합니다",09:00~21:00,"월급 2,630,000",16분전
서울 강서구,[상무초밥 등촌점]에서 주방부장/과장님 모십니다. [7월오픈예정],시간협의,"월급 3,500,000",28분전
서울 강서구,[상무초밥 등촌점]에서 주방부장/과장님 모십니다. [7월오픈예정],시간협의,"월급 3,500,000",28분전
서울 강서구,[상무초밥 등촌점]에서 주방부장/과장님 모십니다. [7월오픈예정],시간협의,"월급 3,500,000",28분전
서울 강서구,[상무초밥 등촌점]에서 주방부장/과장님 모십니다. [7월오픈예정],시간협의,"월급 3,500,000",28분전
대전 서구,"+상무초밥 둔산점에서 함께하실 홀 직원 ,아르바이트  모집합니다",시간협의,"월급 2,400,000",33분전
경기 화성시,"상무초밥 동탄점(8월23일오픈) 홀,주방 직원 아르바이트 구합니다.",시간협의,"월급 2,620,000",42분전
광주 전체,상무초밥 용봉점에서 함께할 주방 & 홀직원 모십니다.,10:00~22:00,"월급 3,000,000",52분전
대전 서구,+상무초밥 둔산점에서 함께하실 주방 직원구합니다.,시간협의,"월급 2,700,000",1시간전
대전 서구,+상무초밥 둔산점 홀 직원 모집합니다.,시간협의,"월급 2,400,000",1시간전
광주 전체,상무초밥 용봉점에서 함께할 주방 & 홀직원 모십니다.,10:00~22:00,"월급 3,000,000",2시간전
서울 강동구,상무초밥 길동점 설거지 찬모 주방직원및파트타이머 구합니다,시간협의,"월급 2,800,000",2시간전
경기 화성시,"상무초밥 동탄점(8월23일오픈) 홀,주방 직원 아르바이트 구합니다.",시간협의,"월급 2,620,000",2시간전
경남 진주시,[상무초밥진주점]주방부장/과장/홀 매니저/홀주임,시간협의,"월급 4,000,000",3시간전
전남 순천시,"[직원밥도 맛있는 상무초밥] 함께할 홀직원/평일,주말알바구항",10:00~22:00,"월급 2,500,000",3시간전
경기 군포시,상무초밥(군포산본점)주방직원 및 홀직원 구인합니다,10:00~21:00,"월급 2,600,000",3시간전
광주 광산구,상무초밥 수완점 주방실장 부장 과장 대리 사원모집/ 홀직원 알바 모집합니다,10:00~22:00,"월급 3,500,000",5시간전
전남 여수시,상무초밥(낭만포차거리점)에서 홀/주방 직원 채용합니다,시간협의,"월급 3,000,000",5시간전
전남 여수시,상무초밥(낭만포차거리점)에서 주방/홀직원 채용합니다,시간협의,"월급 3,000,000",6시간전
대전 서구,+상무초밥 둔산점에서 함께하실 직원 모집합니다,시간협의,"월급 2,700,000",6시간전
경기 성남시,상무초밥 분당서현점 함께 성장해가실 정규직 직원 모집합니다,10:00~22:00,"월급 3,000,000",6시간전
경기 성남시,상무초밥 분당서현점 함께 성장해가실 정규직 직원 모집합니다,10:00~22:00,"월급 3,000,000",6시간전
충남 천안시,상무초밥 천안신부점 홀직원및 주방직원 각1명씩 모집 분위기 업계최고,시간협의,"월급 2,400,000",6시간전
충북 청주시,(8월25일오픈예정) 상무초밥 율량점에서 함께할 파트너를 모집합니다.,시간협의,"월급 2,650,000",7시간전
경기 수원시,(상무초밥 수원역점)홀&주방&설거지&아르바이트 직원모집합니다,시간협의,"월급 3,500,000",7시간전
전남 목포시,상무초밥 목포하당점 홀직원 / 홀알바 모집합니다~,시간협의,"월급 2,600,000",7시간전
전남 목포시,상무초밥 목포하당점 주방 부장/과장/막내 모집합니다,시간협의,"월급 3,700,000",7시간전
대전 유성구,"상무초밥 유성점 홀,주방 직원구합니다",시간협의,"월급 2,700,000",7시간전
전북 익산시,상무초밥 익산점에서 함께일하실 주방직원 모집합니다,11:00~22:00,"월급 2,600,000",7시간전
광주 남구,"상무초밥 봉선점에서 함께 성장해가 실 홀 매니저, 사원 분을 모십니다.",11:00~22:00,"월급 2,700,000",8시간전
전남 여수시,"상무초밥 여수점에서 주방직원을 구합니다 (경력자 우대, 초보자 환영)",10:00~22:00,"월급 2,500,000",8시간전
전북 전주시,상무초밥 전주송천점과 함께하실 주방직원 모집합니다,시간협의,"월급 4,000,000",8시간전
광주 남구,상무초밥 봉선점에서 함께 일하 실 파트타이머분들을 모십니다.,18:00~23:00,"시급 8,720",8시간전
인천 연수구,상무초밥 송도점 직원 및 알바모집,시간협의,"월급 3,000,000",07/18
인천 연수구,상무초밥 송도점 직원 및 알바모집,시간협의,"월급 3,000,000",07/18
경기 화성시,"상무초밥 동탄점(8월23일오픈) 홀,주방 직원 아르바이트 구합니다.",시간협의,"월급 2,620,000",07/17
