place,title,time,pay,date
경기 고양시,"추가모집 /일산전지역 도서대여및 코칭,논술 전문선생님을 모집 합니다",14:00~21:00,"시급 10,000",1분전
경기 고양시,"도서대여및 북코칭,독서수업선생님을 모집 합니다.~~",14:00~21:00,"시급 10,000",2분전
경기 고양시,일산지역 도서대여및 책읽어주기 선생님을 모집 합니다.~~,14:00~21:00,"건별 30,000",4분전
대구 달서구,성원아이북랜드와 함께 할 선생님을 모집합니다,시간협의,"월급 1,000,000",10분전
대구 달서구,(급구) 책읽어주기선생님 모집합니다,시간협의,"건별 35,000",12분전
서울 성북구,성원아이북랜드 독서코칭및 책읽어주기 선생님을 모십니다.[자격증취득기회],14:00~20:00,"월급 700,000",17분전
서울 강북구,"[강북구]유아동 책읽어주기,도서대여,독서논술 선생님 모집",14:00~20:00,"월급 1,000,000",17분전
서울 성북구,"[급구]성원아이북랜드 책읽어주기,도서대여 선생님을 모집 합니다.",14:00~20:00,"월급 1,000,000",18분전
경기 용인시,성원아이북랜드 책읽어주기 선생님 추가 모집,시간협의,"월급 1,000,000",25분전
경기 용인시,성원아이북랜드 책읽어주기 선생님  추가 모집,시간협의,"월급 1,000,000",25분전
서울 동작구,성원아이북랜드 책읽어주기 선생님을 모집합니다.,시간협의,"월급 1,000,000",32분전
서울 영등포,"[영등포구] 열정적인 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~19:00,"월급 1,000,000",54분전
서울 강서구,"[강서구] 열정적인 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~20:00,"월급 1,000,000",54분전
대구 북구,"(급구)회원증가로 인한 성원아이북랜드 책읽어주기선생님 모집(서구,달서구)",시간협의,"건별 35,000",1시간전
경기 평택시,(주)성원아이북랜드: 독서코칭 및 책읽어주기 선생님을 모집합니다.,시간협의,"시급 15,000",2시간전
경기 평택시,(주)성원아이북랜드: 독서코칭 및 책읽어주기 선생님을 모집합니다.,시간협의,"시급 15,000",3시간전
부산 북구,책읽어 주기 선생님 모집합니다. (요일 시간  협의 가능),10:00~18:00,"월급 1,000,000",5시간전
부산 북구,책읽어 주기 선생님 모집합니다. (요일 시간  협의 가능),10:00~18:00,"월급 1,000,000",5시간전
충북 청주시,추가모집 -동남지구 책읽어주기 교사모집,15:00~08:00,건별 100,6시간전
충북 청주시,추가모집 -동남지구 책읽어주기 교사모집,15:00~08:00,건별 100,6시간전
대전 서구,[둔산동 추가 ]  책읽어주기/배본관리/독서논술교사 모집합니다,시간협의,"월급 1,500,000",6시간전
대전 서구,[노은동] 책읽어주기교사 모집합니다,시간협의,"월급 1,500,000",6시간전
대전 서구,[대덕구 ] 책읽어주기교사/ 독서논술교사/ 전과목교사 모집합니다,시간협의,"월급 1,500,000",6시간전
경기 고양시,[ 덕양구 ] 도서대여 . 전과목 선생님을 모집합니다.,시간협의,"건별 10,000",6시간전
경기 고양시,[덕양구] 독서토론논술 선생님을 모집합니다.,시간협의,"건별 10,000",6시간전
경기 김포시,[급구] 인천서구 김포 성원아이북랜드 선생님 모집,시간협의,"월급 1,500,000",6시간전
서울 금천구,함께 할 선생님을 모집합니다,시간협의,"월급 1,000,000",7시간전
서울 구로구,함께 할 선생님을 찾습니다.,시간협의,"월급 1,000,000",7시간전
울산 중구,(추가모집)책읽어주기.독서지도 교사모집(남구.북구)-차량소지자,시간협의,"건별 50,000",7시간전
경기 평택시,(주)성원아이북랜드: 독서코칭 및 책읽어주기 선생님을 모집합니다.,시간협의,"시급 15,000",07/18
경기 성남시,책 읽어주기 교사  모집,10:00~20:00,"시급 15,000",07/18
경북 안동시,책읽어 주기  선생님을 모집 (주3-4일 근무 가능),09:00~12:00,"월급 1,200,000",07/18
서울 은평구,(은평구-불광) 책읽어주기 선생님 모집,14:00~20:00,"월급 1,200,000",07/17
서울 은평구,(서대문-홍은)책읽어주기 선생님 모집,14:00~19:00,"월급 1,200,000",07/17
서울 은평구,(서대문구-남가좌) 책읽어주기 선생님 모집,14:00~19:00,"월급 1,200,000",07/17
경기 김포시,[급구] 김포 성원아이북랜드 선생님 모집,시간협의,"월급 1,500,000",07/17
충남 당진시,급) 성원아이북랜드 방문교사 모집 (독서관련 자격증 취득 기회),시간협의,"건별 20,000",07/17
충남 서산시,급) 성원아이북랜드 방문교사 모집 (독서관련 자격증 취득 기회),시간협의,"건별 20,000",07/17
충남 서산시,급)성원아이북랜드와 함께 할 선생님을 모십니다.,시간협의,"건별 30,000",07/17
충남 아산시,성원아이북랜드와 함께 할 책읽어주는 선생님을 모십니다.,시간협의,"건별 30,000",07/17
경기 고양시,"추가모집 /일산전지역 도서대여및 코칭,논술 전문선생님을 모집 합니다",14:00~21:00,"시급 10,000",1분전
경기 고양시,"도서대여및 북코칭,독서수업선생님을 모집 합니다.~~",14:00~21:00,"시급 10,000",2분전
경기 고양시,일산지역 도서대여및 책읽어주기 선생님을 모집 합니다.~~,14:00~21:00,"건별 30,000",4분전
대구 달서구,성원아이북랜드와 함께 할 선생님을 모집합니다,시간협의,"월급 1,000,000",10분전
대구 달서구,(급구) 책읽어주기선생님 모집합니다,시간협의,"건별 35,000",12분전
서울 성북구,성원아이북랜드 독서코칭및 책읽어주기 선생님을 모십니다.[자격증취득기회],14:00~20:00,"월급 700,000",17분전
서울 강북구,"[강북구]유아동 책읽어주기,도서대여,독서논술 선생님 모집",14:00~20:00,"월급 1,000,000",17분전
서울 성북구,"[급구]성원아이북랜드 책읽어주기,도서대여 선생님을 모집 합니다.",14:00~20:00,"월급 1,000,000",18분전
경기 용인시,성원아이북랜드 책읽어주기 선생님 추가 모집,시간협의,"월급 1,000,000",25분전
경기 용인시,성원아이북랜드 책읽어주기 선생님  추가 모집,시간협의,"월급 1,000,000",25분전
서울 동작구,성원아이북랜드 책읽어주기 선생님을 모집합니다.,시간협의,"월급 1,000,000",32분전
서울 영등포,"[영등포구] 열정적인 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~19:00,"월급 1,000,000",54분전
서울 강서구,"[강서구] 열정적인 유아동 도서대여, 책읽어주기 선생님을 모집합니다.",14:00~20:00,"월급 1,000,000",54분전
대구 북구,"(급구)회원증가로 인한 성원아이북랜드 책읽어주기선생님 모집(서구,달서구)",시간협의,"건별 35,000",1시간전
