place,title,time,pay,date
광주 광산구,세라젬 웰카페 광주신창점 직원 채용,10:30~21:00,"월급 2,100,000",07/17
경기 성남시,세라젬 웰카페 판교 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
서울 영등포,세라젬 웰카페 영등포 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 남양주,세라젬 웰카페 남양주 다산지금 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 평택시,세라젬 웰카페 평택소사벌 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 화성시,세라젬 웰카페 동탄목동 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경남 양산시,세라젬 웰카페 양산범어 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 오산시,세라젬 웰카페 오산 원동 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 안성시,세라젬 웰카페 안성아양 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경남 김해시,세라젬 웰카페 장유신도시 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 용인시,세라젬 웰카페 용인상현 직영점 직원 채용,시간협의,"월급 2,100,000",07/17
경기 안양시,세라젬 웰카페 안양평촌 직영점 직원 채용,10:30~21:00,"월급 2,100,000",07/17
충남 홍성군,세라젬 웰카페 홍성내포신도시점 직영점 직원 채용,시간협의,"월급 2,100,000",07/09
경기 안양시,세라젬 웰카페 안양만안구점 직원 채용,시간협의,"월급 2,100,000",07/09
