place,title,time,pay,date
서울 성동구,소림마라 성동점(옥수역인근) 주방직원 모집합니다.,11:30~23:30,"월급 3,100,000",07/18
경기 수원시,소림마라 서수원점 주방 아르바이트 모집합니다.,시간협의,"시급 9,000",07/13
서울 마포구,소림마라 마포점 주방 주6일 직원 구합니다.,19:00~02:00,"월급 2,000,000",07/12
충북 청주시,소림타운 청주상당점 오후 아르바이트,16:00~22:00,"시급 9,000",07/11
충북 청주시,소림타운 청주상당점 직원구함,10:00~22:00,"월급 2,800,000",07/11
서울 서대문,마라탕전문 서대문점 주방직원 모집합니다. [포장배달전문 주5일],10:00~22:00,"월급 2,400,000",07/10
인천 서구,(배달전문업체) 소림쿡인천서구점 주방직원 모집,시간협의,"월급 2,700,000",07/10
경남 진주시,마라전문점 '소림타운' 오후 파트타이머 및 직원 모집,시간협의,"시급 9,000",07/09
경기 의정부,마라탕전문점 소림마라 직원모집,10:00~22:00,"월급 2,400,000",07/05
서울 전체,소림마라 성북점 주방 주5일 직원 구합니다.,10:00~22:00,"월급 2,400,000",07/03
경기 오산시,소림타운 오산점 주방직원 모집,10:00~22:00,"월급 2,800,000",07/03
충남 천안시,소림마라 천안점 주방직원 모집,시간협의,"월급 2,400,000",07/03
