place,title,time,pay,date
서울 마포구,[슈펜 홍대점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
서울 서대문,[슈펜 홍대점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
부산 해운대,[슈펜 해운대점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
부산 수영구,[슈펜 해운대점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
서울 중랑구,[슈펜 청량리점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 고양시,[슈펜 일산점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 고양시,[슈펜 일산점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
서울 영등포,[슈펜 용산점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 성남시,[슈펜 야탑점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 성남시,[슈펜 야탑점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
전남 순천시,[슈펜 순천점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
전남 순천시,[슈펜 순천점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 성남시,[슈펜 송파점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 부천시,[슈펜 부천점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
인천 부평구,[슈펜 부천점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
대구 전체,[슈펜 동성로점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
전남 순천시,[슈펜 광양점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
전남 광양시,[슈펜 광양점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 안산시,[슈펜 고잔점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
경기 안산시,[슈펜 고잔점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",1시간전
서울 강서구,[슈펜 강서점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",2시간전
서울 강남구,[슈펜 강남역 2호점] 주5일(40시간)_직영점_아르바이트_모집V,13:00~22:00,"월급 1,922,480",2시간전
