place,title,time,pay,date
서울 송파구,잠실롯데월드몰B1층점에서 함께 일하실 분 구해요,17:30~23:00,"시급 8,720",17분전
충남 천안시,엔제리너스 천안직산점 관리자(부점장)모집,시간협의,"월급 1,900,000",49분전
충남 천안시,아르바이트  모집합니다.,19:00~23:00,"시급 8,720",50분전
경남 창원시,진해자은점 엔제리너스에서 같이 일하실분 모집합니다.( 직원 및 아르바이트 ),시간협의,"시급 8,720",57분전
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 3~4일근무) 모집합니다.,07:00~19:00,"시급 8,720",3시간전
경남 진주시,금산 엔제리너스 마감알바 구합니다.,19:00~23:00,"시급 8,720",3시간전
부산 부산진,롯데백화점 식당가 엔제리너스 아르바이트 모집,시간협의,"시급 8,720",6시간전
대구 전체,엔제리너스 칠성시장역점에서 직원 모집합니다.(주5일근무),시간협의,"월급 1,830,000",7시간전
충남 천안시,아르바이트  모집합니다.,19:00~23:00,"시급 8,720",8시간전
충남 천안시,엔제리너스 천안직산점 관리자(부점장)모집,시간협의,"월급 1,900,000",8시간전
부산 부산진,롯데백화점 식당가 엔제리너스 아르바이트 모집,시간협의,"시급 8,720",9시간전
서울 광진구,엔제리너스 건대영존점에서 함께 일할 엔젤을 모집합니다.,17:00~22:00,"시급 8,720",9시간전
서울 광진구,엔제리너스 건대영존점에서 함께 일할 엔젤을 모집합니다.,17:00~22:00,"시급 8,720",07/18
서울 강동구,엔제리너스 강동경희대병원점 아르바이트(월~금中 3~4일근무) 모집합니다.,07:00~19:00,"시급 8,720",07/18
대구 전체,엔제리너스 칠곡구암역점 심야직원구함(주 5일근무),24:00~08:30,"월급 2,180,000",07/18
대구 전체,엔제리너스 칠곡구암역점 직원 구함(주 5일근무),시간협의,"월급 1,830,000",07/18
경기 화성시,엔제리너스   동탄역사점  관리자 모집,시간협의,"월급 2,000,000",07/17
서울 광진구,엔제리너스 건대영존점에서 함께 일할 엔젤을 모집합니다.,17:00~22:00,"시급 8,720",07/17
대구 전체,엔제리너스 북비산네거리점 매니저 모집,시간협의,"월급 1,830,000",07/16
서울 광진구,엔제리너스 건대영존점에서 함께 일할 엔젤을 모집합니다.,17:00~22:00,"시급 8,720",07/16
부산 강서구,[문자 지원] 엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.,시간협의,"시급 8,800",07/14
경기 시흥시,엔제리너스 거북섬점에서 주말 알바생을 모집합니다.,13:30~20:00,"시급 8,720",07/12
서울 광진구,엔제리너스 건대역점에서 함께하실분,시간협의,"시급 8,720",07/12
서울 종로구,엔제리너스 센트로폴리스점에서 함께 일할 엔젤을 모집합니다,10:30~14:00,"시급 8,720",07/11
대구 전체,엔제리너스 칠곡구암역점 직원 구함(주 5일근무),시간협의,"월급 1,830,000",07/11
대구 전체,엔제리너스 칠곡구암역점 심야직원구함(주 5일근무),24:00~08:30,"월급 2,180,000",07/11
울산 북구,엔제리너스 울산 명촌점 즐겁게 일할 바리스타 구합니다.,09:30~15:00,"시급 8,720",07/10
경북 경주시,엔제리너스 경주D/T점에서 함께 근무하실 아르바이트를 모십니다.,시간협의,"시급 8,720",07/10
부산 부산진,엔제리너스 부산서면점(직영) 아르바이트 모집합니다.,00:00~24:00,"시급 8,720",07/09
부산 부산진,엔제리너스 부산서면점(직영) 아르바이트 모집합니다.,00:00~24:00,"시급 8,720",07/09
인천 중구,엔제리너스 인천공항T2 B1점에서 함께할 바리스타를 모집합니다.,06:00~13:00,"시급 8,720",07/07
부산 부산진,엔제리너스 부산서면점(직영) 아르바이트 모집합니다.,00:00~24:00,"시급 8,720",07/06
부산 강서구,[문자 지원] 엔제리너스 김해공항점(국내선)에서 바리스타 모집 합니다.,06:00~22:00,"시급 8,800",07/06
서울 강남구,엔제리너스 수서환승통로점에서 같이 일하실 분~,시간협의,"시급 8,720",07/05
서울 송파구,"엔제리너스 잠실서울스카이점에서 평일,주말 마감 파트타임을 모집합니다.",시간협의,"시급 8,720",07/05
울산 북구,엔제리너스 울산 명촌점 즐겁게 일할 바리스타 구합니다.,09:30~15:00,"시급 8,720",07/04
부산 부산진,엔제리너스 부산서면점(직영) 아르바이트 모집합니다.,00:00~24:00,"시급 8,720",07/03
