place,title,time,pay,date
서울 종로구,[폴 바셋 종각역점] 정규 신입(트레이니) 바리스타 모집,06:00~23:00,"시급 9,000",2분전
부산 전체,폴 바셋 롯데몰 동부산점 정규 신입(트레이니) 바리스타 모집,09:00~22:00,"시급 9,000",2분전
서울 중구,폴바셋 롯데 본점2호점 정규직 신입 바리스타 모집,09:00~21:00,"시급 9,000",6분전
서울 강남구,정규 신입(트레이니) 바리스타 모집,07:00~20:00,"시급 9,000",10분전
경기 여주시,[폴바셋 신세계 여주 아울렛점] 정규직 경력 바리스타 모집,08:00~22:00,"시급 9,000",13분전
서울 서초구,홀알바주3-5일[매일유업계열]고속터미널.신세계백화점 이탈리안레스토랑,12:00~21:00,"시급 8,720",18분전
서울 전체,[폴 바셋 롯데본점] 정규 신입(트레이니) 바리스타 모집 (아르바이트 X),09:00~22:00,"시급 9,000",35분전
경기 김포시,[폴 바셋] 현대프리미엄아울렛 김포점 정규 신입 바리스타 모집,08:00~22:00,"시급 9,000",40분전
인천 연수구,[폴 바셋 송도 트리플스트리트점] 주말 PT 바리스타 채용,15:00~20:30,"시급 8,720",44분전
서울 중구,[폴 바셋 코리아나호텔점] 정규직 신입 바리스타 모집,06:30~23:00,"시급 9,000",52분전
서울 전체,[폴바셋 교대역점]정규 신입(트레이니) 바리스타 모집,07:00~23:00,"시급 9,000",56분전
서울 관악구,폴 바셋 압구정2호점 바리스타 모집(아르바이트X),07:00~23:00,"시급 9,000",1시간전
부산 전체,정규 신입(5H 트레이니) 바리스타 모집,00:00~24:00,"시급 9,000",1시간전
서울 강동구,정규 신입(트레이니) 바리스타 모집,06:30~22:00,"시급 9,000",1시간전
경기 의정부,[신규오픈] 한식당 조리(BOH) 정규직 직원 채용,11:00~20:00,"월급 1,883,800",2시간전
서울 중구,정규 신입(트레이니) 바리스타 모집[서소문점],06:00~23:00,"시급 9,000",2시간전
서울 관악구,[폴바셋 롯데마트 서초점] 정규 신입(트레이니) 바리스타 모집,08:00~23:00,"시급 9,000",2시간전
서울 송파구,[폴바셋/위례점] 정규 신입(트레이니) 바리스타 모집,09:00~23:00,"시급 9,000",3시간전
서울 송파구,[폴바셋/위례점] 정규 신입(트레이니) 바리스타 모집,09:00~23:00,"시급 9,000",3시간전
경기 성남시,폴 바셋 신입 바리스타 모집 (일원역점),06:00~23:00,"시급 9,000",3시간전
서울 관악구,[폴바셋 롯데마트 서초점] 정규 신입(트레이니) 바리스타 모집,08:00~23:00,"시급 9,000",3시간전
서울 중구,정규 신입(트레이니) 바리스타 모집,06:00~24:00,"시급 9,000",3시간전
서울 용산구,정규 신입(트레이니) 바리스타 모집(한남커피스테이션),07:00~23:00,"시급 9,000",3시간전
서울 관악구,[폴바셋 롯데마트 서초점] 정규 신입(트레이니) 바리스타 모집,08:00~23:00,"시급 9,000",3시간전
서울 영등포,[여의도점] 정규 신입(트레이니) 바리스타 모집,06:00~23:00,"시급 9,000",4시간전
서울 서초구,홀알바주5일[매일유업계열]고속터미널.신세계백화점 이탈리안레스토랑,12:00~21:00,"시급 8,720",4시간전
서울 강남구,정규 신입(트레이니) 바리스타 모집,06:30~23:00,"시급 9,000",4시간전
서울 관악구,정규 신입(트레이니) 바리스타 모집,06:30~22:00,"시급 9,000",4시간전
경기 용인시,[폴 바셋 롯데몰수지점]정규직 신입 바리스타 모집 (아르바이트x),09:30~23:00,"시급 9,000",4시간전
서울 양천구,[신규오픈매장] 여의도지역 정규직 신입(트레이니) 바리스타 모집,07:00~22:00,"시급 9,000",6시간전
서울 동작구,[신규오픈매장] 여의도지역 정규직 신입(트레이니) 바리스타 모집,07:00~22:00,"시급 9,000",6시간전
서울 금천구,[신규오픈매장] 여의도지역 정규직 신입(트레이니) 바리스타 모집,07:00~22:00,"시급 9,000",6시간전
서울 영등포,[신규오픈매장] 여의도지역 정규직 신입(트레이니) 바리스타 모집,07:00~22:00,"시급 9,000",6시간전
경기 용인시,[폴바셋 신세계경기점] 정규 신입(트레이니) 바리스타 모집,09:30~22:30,"시급 9,000",19시간전
경기 평택시,[주말 알바] 폴바셋 스타필드 안성점 바리스타 보조 모집,13:30~21:00,"시급 8,720",19시간전
서울 전체,[폴바셋 교대역점]정규 신입(트레이니) 바리스타 모집,07:00~23:00,"시급 9,000",07/18
경기 김포시,[신규오픈] 폴바셋 정규직 신입 바리스타 모집,07:00~23:30,"시급 9,000",07/17
경기 오산시,[신규오픈매장] 폴바셋 오산대역 신입 바리스타 모집,07:00~23:00,"시급 9,000",07/17
경기 화성시,[신규오픈매장] 폴바셋 오산대역 신입 바리스타 모집,07:00~23:00,"시급 9,000",07/17
