place,title,time,pay,date
서울 은평구,(재택)불광동 힐스3차주변 공부방창업 웅진씽크빅이 지원해드립니다.(비용제로),13:00~18:00,"월급 2,000,000",1분전
경남 통영시,[통영 이지비아]공부방 창업비용제로/집기지원/20명만 수업해도 200만원대/,15:00~21:00,"월급 2,000,000",3분전
서울 마포구,"회원지원, 최대450+α 지원금 받고 신석초 주변 공부방 개설교사 모집",14:00~19:00,"월급 1,800,000",7분전
서울 마포구,"회원지원, 최대450+α 지원금 받고 마포초 주변 공부방 개설교사 모집",14:00~19:00,"월급 1,800,000",9분전
경기 여주시,"유아전담교사1재택화상영어교사2명,공부방교사2명모집,방문교사2명(시간협의 가능",14:00~20:00,"월급 1,500,000",10분전
경남 통영시,웅진씽크빅 통영지국 방문교사 모십니다,15:00~21:00,"월급 2,000,000",10분전
서울 동대문,동대문구 장안동지역 아파트 방문교사모집(회원 100%지급),13:00~20:00,"월급 1,800,000",10분전
서울 동대문,동대문구 장안동 유아전담교사모집,시간협의,"월급 1,900,000",11분전
서울 동대문,"창업비 가맹비無 200만원상당 환경지원,스마트공부방 모집(동대문구)",시간협의,"월급 2,000,000",11분전
경북 안동시,참신한 교사를 구합니다,14:00~20:30,"월급 2,000,000",12분전
경남 통영시,[ 고성초등앞 ]공부방 창업비용제로/집기지원/20명만 수업해도 200만원대/,15:00~21:00,"월급 2,000,000",12분전
서울 마포구,영어전문선생님 모집,14:00~19:30,"월급 1,800,000",13분전
서울 전체,영등포지역 유아전담 방문선생님을 모집합니다~,14:00~19:00,"월급 1,800,000",16분전
서울 영등포,영등포구지역 스마트공부방 개설 교사모집,14:00~19:00,"월급 2,000,000",16분전
서울 영등포,영등포구지역 스마트공부방 개설 교사모집,14:00~19:00,"월급 2,000,000",18분전
경기 부천시,유아 전담 교사 모집,시간협의,"월급 2,000,000",18분전
경기 과천시,재택가능한 과천지역 공부방 선생님 모집합니다(무자본으로 가능해요),10:00~18:00,"월급 2,000,000",23분전
경북 경주시,씽크빅 센타 영어선생님을 모집합니다.,15:00~20:00,"월급 2,000,000",23분전
광주 광산구,첨단2지구 한양수자인 스마트올클래스(공부방)교사 모집합니다,13:00~18:00,"월급 1,200,000",24분전
경기 남양주,유아전담 교사/방문 주3일가능/유치원 보육교사 우대,14:30~19:30,"시급 18,000",26분전
서울 노원구,웅진씽크빅센터 영어교사모집,시간협의,"월급 2,000,000",28분전
서울 노원구,조공6단지 유아전담교사 모집,시간협의,"월급 2,000,000",28분전
경기 파주시,회원지원. 문산에서 공부방 오픈하실 선생님 모집합니다.,14:00~19:00,"월급 2,000,000",28분전
경기 파주시,웅진씽크빅 문산학습센터에 수업하실 영어교사모집합니다(초등대상),시간협의,"월급 2,000,000",29분전
서울 노원구,"창업비,가맹비 없음.상계5단지 공부방 개설",시간협의,"월급 2,000,000",29분전
