place,title,time,pay,date
경남 창원시,함께 일하실분 구합니다,17:30~20:30,"시급 8,720",24분전
경기 성남시,수내 롯데백화점 더페이스샵 경력자 아르바이트모집,16:00~20:00,"시급 8,720",36분전
경기 안성시,안성점/LG화장품/이자녹스/수려한/비욘드/보닌/VDIVOV/알바구해요,10:00~21:00,"시급 8,720",2시간전
전북 익산시,롯데마트 더페이스샵,19:00~23:00,"시급 8,720",2시간전
경기 수원시,수원역/롯데마트/엘지화장품/이자녹스/수려한/비욘드/더페이스샵,18:00~21:00,"시급 8,720",3시간전
경남 사천시,네이처컬렉션(더페이스샵) 사천점 알바구합니다.,16:30~21:00,"시급 8,720",3시간전
서울 송파구,더페이스샵(네이처컬렉션) 동종업계 경력자 오전 알바 구함,시간협의,"시급 8,720",5시간전
경북 경주시,네이처컬렉션 경주외동점 직원급구합니다,10:00~20:00,"시급 8,720",07/18
경남 진주시,서진주 탑마트 더페이스샵 직원모집,13:30~22:00,"월급 1,822,480",07/17
경기 고양시,근면성실한 오후알바구합니다,18:30~21:00,"시급 9,000",07/17
전국 전체,더페이스샵 직원 구합니다,10:00~07:00,"월급 1,850,000",07/17
서울 도봉구,더페이스샵 (네이처컬렉션)창동점 직원 채용합니다.,13:00~22:00,"월급 1,900,000",07/16
서울 송파구,더페이스샵(네이처컬렉션) 동종업계 경력자 직원  구함,시간협의,"월급 1,822,480",07/16
서울 송파구,더페이스샵(네이처컬렉션) 동종업계 경력자 오전 알바 구함,시간협의,"시급 8,720",07/16
서울 송파구,더페이스샵(네이처컬렉션) 동종업계 경력자 직원  구함,시간협의,"시급 8,720",07/16
서울 송파구,더페이스샵(네이처컬렉션) 동종업계 직원구함 (7시간근무),시간협의,"월급 1,900,000",07/16
부산 전체,이마트 금정점 LG이자녹스.수려한 매장 판매직원 구합니다. 알바(급구)주3회,10:00~23:00,"시급 8,800",07/11
