place,title,time,pay,date
전국 전체,[OYSHO 코엑스몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",3시간전
서울 전체,[OYSHO 여의도 IFC몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",3시간전
경기 전체,[ZARA 고양 원마운트] 정직원 채용 공고,시간협의,"연봉 24,000,000",3시간전
서울 전체,[ZARA 강남역점] 정직원 채용 공고,시간협의,"연봉 24,000,000",4시간전
전북 전체,[ZARA 전주 노벨리나점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/18
충북 청주시,[ZARA 청주 지웰시티] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/18
경남 전체,[ZARA 창원 롯데백화점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/17
서울 전체,[ZARA 명동 눈스퀘어/엠플라자] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/17
경기 고양시,[ZARA HOME] 고양 스타필드  정직원 채용 공고,시간협의,"연봉 24,000,000",07/16
경기 화성시,[Massimo Dutti 동탄 롯데] 주 20시간Part Timer채용,시간협의,"시급 11,370",07/11
경기 성남시,[Massimo Dutti 판교 현대] 주 20시간Part Timer채용,시간협의,"시급 11,370",07/11
서울 전체,[ZARA 용산 아이파크몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/11
인천 전체,[ZARA 송도 Triple Street점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/10
서울 전체,[ZARA 잠실 롯데월드몰/롯데백화점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/10
경기 전체,[Massimo Dutt 하남 스타필드] 주말 Part Timer 채용,시간협의,"시급 11,370",07/08
서울 구로구,[ZARA 신도림 디큐브시티] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
대전 전체,[ZARA 대전 타임월드] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
서울 강남구,ZARA 코엑스몰/잠실/가로수길 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[ZARA 안성 스타필드] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[ZARA 용인 수지 롯데몰/수원 롯데몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[Massimo Dutti 고양 스타필드] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 성남시,[Massimo Dutti 판교 현대백화점] 오픈멤버 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[Massimo Dutti 동탄 롯데백화점] 오픈멤버 채용 공고,시간협의,"연봉 24,000,000",07/08
서울 전체,[Massimo Dutti 잠실 롯데월드몰/코엑스몰]정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
서울 전체,[Massimo Dutti 여의도 IFC몰] 정직원 채용,시간협의,"연봉 24,000,000",07/08
서울 전체,[ZARA 신도림 디큐브시티] 주 20시간 Part Timer 채용,시간협의,"시급 11,370",07/04
부산 해운대,[ZARA 부산 센텀 롯데백화점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/04
전국 전체,[OYSHO 코엑스몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",3시간전
서울 전체,[OYSHO 여의도 IFC몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",3시간전
경기 전체,[ZARA 고양 원마운트] 정직원 채용 공고,시간협의,"연봉 24,000,000",3시간전
서울 전체,[ZARA 강남역점] 정직원 채용 공고,시간협의,"연봉 24,000,000",4시간전
전북 전체,[ZARA 전주 노벨리나점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/18
충북 청주시,[ZARA 청주 지웰시티] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/18
경남 전체,[ZARA 창원 롯데백화점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/17
서울 전체,[ZARA 명동 눈스퀘어/엠플라자] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/17
경기 고양시,[ZARA HOME] 고양 스타필드  정직원 채용 공고,시간협의,"연봉 24,000,000",07/16
경기 화성시,[Massimo Dutti 동탄 롯데] 주 20시간Part Timer채용,시간협의,"시급 11,370",07/11
경기 성남시,[Massimo Dutti 판교 현대] 주 20시간Part Timer채용,시간협의,"시급 11,370",07/11
서울 전체,[ZARA 용산 아이파크몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/11
인천 전체,[ZARA 송도 Triple Street점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/10
서울 전체,[ZARA 잠실 롯데월드몰/롯데백화점] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/10
경기 전체,[Massimo Dutt 하남 스타필드] 주말 Part Timer 채용,시간협의,"시급 11,370",07/08
서울 구로구,[ZARA 신도림 디큐브시티] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
대전 전체,[ZARA 대전 타임월드] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
서울 강남구,ZARA 코엑스몰/잠실/가로수길 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[ZARA 안성 스타필드] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[ZARA 용인 수지 롯데몰/수원 롯데몰] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[Massimo Dutti 고양 스타필드] 정직원 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 성남시,[Massimo Dutti 판교 현대백화점] 오픈멤버 채용 공고,시간협의,"연봉 24,000,000",07/08
경기 전체,[Massimo Dutti 동탄 롯데백화점] 오픈멤버 채용 공고,시간협의,"연봉 24,000,000",07/08
