place,title,time,pay,date
제주 제주시,JD스포츠패션코리아 제주칠성점 직원모집(준사원-마감조),13:00~22:00,"월급 1,822,480",3시간전
인천 연수구,JD스포츠 인천스퀘어원점 직원 모집,10:00~19:30,"월급 1,822,480",4시간전
인천 연수구,JD스포츠 인천스퀘어원점 주2회 파트타이머 모집,13:30~21:30,"시급 9,040",4시간전
인천 전체,제이디스포츠패션코리아 인천구월점(직) STAFF 모집,13:00~22:00,"월급 1,822,480",4시간전
서울 강서구,JD스포츠패션코리아 롯데몰김포공항점(직) STAFF 모집,13:00~22:00,"월급 1,822,480",07/18
인천 전체,제이디스포츠패션코리아 인천구월점(직) STAFF 모집,13:00~22:00,"월급 1,822,480",07/18
경기 성남시,JD 현대백화점 판교점 준사원 모집,11:00~20:00,"월급 1,822,480",07/17
경기 안성시,제이디스포츠패션코리아 스타필드안성점(직) 주말 파트타임 모집,10:00~22:00,"시급 9,040",07/16
경기 안성시,제이디스포츠패션코리아 스타필드안성점(직) 주말 파트타임 모집,10:00~22:00,"시급 9,040",07/16
경기 안성시,제이디스포츠패션코리아 스타필드안성점(직) STAFF 모집,13:00~22:00,"월급 1,822,480",07/16
경기 안성시,제이디스포츠패션코리아 스타필드안성점(직) STAFF 모집,13:00~22:00,"월급 1,822,480",07/16
인천 전체,제이디스포츠패션코리아 인천구월점(직) PART TIME 모집,10:30~18:30,"시급 9,040",07/16
인천 연수구,JD스포츠 인천스퀘어원점 주2회 파트타이머 모집,13:30~21:30,"시급 9,040",07/08
제주 제주시,JD스포츠패션코리아 제주칠성점 직원모집(준사원-마감조),13:00~22:00,"월급 1,822,480",07/07
인천 부평구,제이디스포츠패션코리아 부평중앙점(직) STAFF 모집,14:00~22:00,"시급 9,040",07/06
인천 부평구,제이디스포츠패션코리아 부평중앙점(직) STAFF 모집,14:00~22:00,"시급 9,040",07/06
인천 연수구,JD스포츠 인천스퀘어원점 주2회 파트타이머 모집,13:30~21:30,"시급 9,040",07/05
