place,title,time,pay,date
경기 파주시,운정 연안식당 주방보조 배민접수가능자,시간협의,"월급 2,900,000",5시간전
경기 파주시,운정 연안식당 주방보조 배민접수가능자,시간협의,"월급 2,900,000",5시간전
경기 파주시,운정 연안식당 주방보조 배민접수가능자,시간협의,"월급 2,900,000",5시간전
경기 파주시,운정 연안식당 주방보조 배민접수가능자,시간협의,"월급 2,900,000",5시간전
경기 시흥시,"연안식당시화정왕점 홀써빙(경력,초보)모집",10:00~22:00,"월급 2,500,000",5시간전
경기 시흥시,"연안식당시화정왕점 홀써빙(경력,초보)모집",10:00~22:00,"월급 2,500,000",5시간전
강원 홍천군,에스와이컴퍼니 주방/홀 직원모집합니다,시간협의,"월급 2,800,000",5시간전
강원 홍천군,에스와이컴퍼니 주방/홀 직원모집합니다,시간협의,"월급 2,800,000",5시간전
강원 홍천군,에스와이컴퍼니 주방/홀 직원모집합니다,시간협의,"월급 2,800,000",07/18
경기 시흥시,"연안식당시화정왕점 홀써빙(경력,초보)모집",10:00~22:00,"월급 2,500,000",07/16
서울 관악구,신림 마포갈매기 홀 직원 구합니다.,15:00~01:00,"월급 2,300,000",07/16
서울 관악구,신림 마포갈매기 홀 직원 구합니다.,15:00~01:00,"월급 2,300,000",07/16
서울 관악구,신림 마포갈매기 홀 직원 구합니다.,15:00~01:00,"월급 2,300,000",07/16
서울 서초구,연안식당 사당점 점장 모집 합니다,11:00~23:00,"월급 2,800,000",07/16
서울 서초구,연안식당 사당점 점장 모집 합니다,11:00~23:00,"월급 2,800,000",07/16
서울 서초구,연안식당 사당점 점장 모집 합니다,11:00~23:00,"월급 2,800,000",07/16
경기 용인시,연안식당 용인동백점 주방과장 모집 합니다,11:00~22:00,"월급 2,600,000",07/16
경기 용인시,연안식당 용인동백점 주방과장 모집 합니다,11:00~22:00,"월급 2,600,000",07/16
경기 광명시,연안식당 광명소하점에서 점장님 구인합니다,10:00~22:00,"월급 3,000,000",07/16
경기 광명시,연안식당 광명소하점에서 점장님 구인합니다,10:00~22:00,"월급 3,000,000",07/16
서울 성동구,연안식당플러스 행당점 주방직원 모집 합니다,10:30~21:30,"월급 2,400,000",07/16
서울 성동구,연안식당플러스 행당점 주방직원 모집 합니다,10:30~21:30,"월급 2,400,000",07/16
서울 성동구,연안식당플러스 행당점 주방직원 모집 합니다,10:30~21:30,"월급 2,400,000",07/16
서울 서초구,연안식당 사당점 점장 모집 합니다,11:00~23:00,"월급 2,800,000",07/11
경기 화성시,공화춘 동탄점 직원채용,10:00~22:00,"월급 2,800,000",07/10
경기 화성시,공화춘 동탄점 직원채용,10:00~22:00,"월급 2,800,000",07/10
경기 화성시,공화춘 동탄점 직원채용,10:00~22:00,"월급 2,800,000",07/10
서울 강남구,공화춘 논현점 직원 채용 건,10:00~22:00,"월급 2,800,000",07/10
서울 강남구,공화춘 논현점 직원 채용 건,10:00~22:00,"월급 2,800,000",07/10
경기 파주시,연안식당파주금촌점 주방직원구함 오전11-14시홀서빙알바,11:00~23:00,"월급 2,700,000",07/10
경기 파주시,연안식당파주금촌점 주방직원구함 오전11-14시홀서빙알바,11:00~23:00,"월급 2,700,000",07/10
경기 파주시,연안식당파주금촌점 주방직원구함 오전11-14시홀서빙알바,11:00~23:00,"월급 2,700,000",07/10
서울 강동구,연안식당 암사역점 홀직원 모집,10:00~20:00,"월급 2,600,000",07/10
서울 강동구,연안식당 암사역점 홀직원 모집,10:00~20:00,"월급 2,600,000",07/10
충북 충주시,연안식당 충주시청점 직원모집,시간협의,"월급 2,400,000",07/10
충북 충주시,연안식당 충주시청점 직원모집,시간협의,"월급 2,400,000",07/10
서울 마포구,연안.고래식당 마포점 주방실장 모집 합니다,10:30~21:30,"월급 2,600,000",07/10
서울 마포구,연안.고래식당 마포점 주방실장 모집 합니다,10:30~21:30,"월급 2,600,000",07/10
서울 마포구,연안.고래식당 마포점 주방실장 모집 합니다,10:30~21:30,"월급 2,600,000",07/10
서울 종로구,연안식당 종로그랑서울점  주방직원 모집합니다.,09:30~21:30,"연봉 32,000,000",07/10
서울 종로구,연안식당 종로그랑서울점  주방직원 모집합니다.,09:30~21:30,"연봉 32,000,000",07/10
서울 종로구,연안식당 종로그랑서울점  주방직원 모집합니다.,09:30~21:30,"연봉 32,000,000",07/06
충북 충주시,연안식당 충주시청점 직원모집,시간협의,"월급 2,400,000",07/04
서울 강동구,연안식당 암사역점 홀직원 모집,10:00~20:00,"월급 2,600,000",07/03
경기 성남시,공화춘 현대백화점 판교점 직원 모집합니다,시간협의,"월급 2,300,000",07/03
경기 화성시,공화춘 동탄점 직원채용,10:00~22:00,"월급 2,800,000",07/03
서울 강남구,공화춘 논현점 직원 채용 건,10:00~22:00,"월급 2,800,000",07/03
