place,title,time,pay,date
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용(교통비 10만원지급),09:30~18:30,"월급 1,923,000",2시간전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용(교통비 10만원지급),09:30~18:30,"월급 1,923,000",2시간전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용(교통비 10만원지급),09:30~18:30,"월급 1,923,000",2시간전
경기 용인시,[지오다노] 본사 정규직 기흥롯데아울렛점 판매사원 채용(교통비 10만원지급),09:30~18:30,"월급 1,923,000",2시간전
서울 영등포,IFC MALL 지오다노 판매사원 모집합니다.,시간협의,"연봉 21,876,000",07/11
경기 용인시,[지오다노]본사 정규직 기흥롯데아울렛점 판매사원 채용(교통비10만원지원),09:30~18:30,"월급 1,923,000",07/10
경기 용인시,[시급1만원] 기흥롯데아울렛 지오다노 주말 아르바이트 모집,12:00~21:00,"시급 10,000",07/10
경기 용인시,[지오다노]본사 정규직 기흥롯데아울렛점 판매사원 채용(교통비10만원지원),09:30~18:30,"월급 1,923,000",07/10
서울 영등포,IFC MALL 지오다노 판매사원 모집합니다.,시간협의,"연봉 21,876,000",07/10
서울 영등포,IFC MALL 지오다노 판매사원 모집합니다.,시간협의,"연봉 21,876,000",07/08
서울 송파구,[본사정규직/교통비10만원] 지오다노 위례스타필드 판매사원 채용,13:00~22:00,"월급 1,823,000",07/06
서울 양천구,[본사정규직] 지오다노 목동현대 판매사원 채용,13:00~22:00,"월급 1,823,000",07/06
서울 강서구,[본사 정규직] 지오다노 김포공항롯데몰점 판매사원 채용,09:30~18:30,"월급 1,823,000",07/06
경기 용인시,[본사 정규직] 지오다노 수지롯데몰 판매사원 채용,09:30~18:30,"월급 1,823,000",07/06
경기 용인시,[본사 정규직] 지오다노 수지롯데몰 판매사원 채용,09:30~22:00,"시급 8,720",07/06
제주 제주시,[본사 정규직] 교통비20만원_지오다노 제주프리미엄아울렛점 판매사원 채용,12:00~21:00,"월급 2,023,000",07/06
