place,title,time,pay,date
서울 마포구,신촌역 인근 개인병원 청소원 모집,19:00~22:00,"시급 12,000",6시간전
서울 강남구,"압구정역,신사역 개인병원 청소원 모집",시간협의,"시급 12,000",6시간전
서울 양천구,[목동/꿀알바] 개인병원 청소,시간협의,"시급 12,000",7시간전
서울 마포구,[신촌역/꿀알바] 개인병원 청소,시간협의,"시급 12,000",7시간전
서울 광진구,군자역 개인병원 청소원 모집,시간협의,"시급 12,000",7시간전
서울 영등포,[대림역/꿀알바] 개인병원 청소,시간협의,"시급 12,000",7시간전
서울 강남구,대림역 개인병원 청소원 모집,시간협의,"시급 12,000",7시간전
서울 은평구,구산역 개인병원 청소원 모집,06:00~08:00,"시급 12,000",7시간전
서울 강남구,압구정역 개인병원 청소 업무입니다.,시간협의,"시급 12,000",7시간전
서울 강남구,2명이 함께 근무 친구와 지원가능 )신사역 개인병원 청소,시간협의,"시급 12,000",7시간전
서울 성동구,상왕십리 인근 개인병원 청소원 모집,06:00~08:00,"시급 12,000",7시간전
서울 금천구,독산역 개인병원 청소 해주실 분 모집,시간협의,"시급 12,000",7시간전
서울 강남구,압구정역 개인병원 청소 모집,시간협의,"시급 12,000",07/18
서울 강남구,압구정 개인병원 청소원 모집 저녁타임,21:00~23:00,"시급 12,000",07/18
서울 강남구,신사역 2명이 함께 근무 개인병원 청소,시간협의,"시급 12,000",07/18
서울 강남구,"2명이 근무, 친구와 함께 가능) 신사역 개인병원 청소 하실분 모집",시간협의,"시급 12,000",07/17
