place,title,time,pay,date
서울 송파구,파리지엥을 구합니다,11:00~15:30,"시급 8,720",1분전
서울 영등포,"화,목 마감구합니다",17:00~23:30,"시급 8,720",7분전
서울 강남구,마감조 14시-23시 (9hr) 주5일 로테이션근무,14:00~23:00,"월급 2,035,000",13분전
서울 중구,평일 마감 구합니다,18:30~23:00,"시급 8,720",18분전
서울 송파구,파리바게뜨 헬리오시티점  토일 마감모집,17:00~22:00,"시급 8,720",19분전
경기 화성시,파리바게뜨 동탄 산척신리점에서 주중/주말 근무자 모집합니다 : ),시간협의,"시급 9,000",19분전
충북 청주시,파리바게뜨 청주율량타운점. 주말 저녁타임 아르바이트 채용공고,16:00~23:00,"시급 8,900",24분전
울산 남구,파리바게뜨 야음시장점 평일저녁 주말오후 모집합니다,시간협의,"시급 8,720",25분전
광주 남구,파리바게뜨효천중흥점 주말 알바 구합니다.,18:00~22:30,"시급 8,720",32분전
서울 중구,평일 미들/마감 구합니다,시간협의,"시급 8,720",36분전
경기 김포시,"목, 금 미드 알바 구함",09:30~16:30,"시급 8,720",36분전
서울 동작구,파리바게뜨 사당역점 오픈(7-13시) 파리바게뜨경력자모집,07:00~13:00,"시급 8,720",38분전
서울 강동구,파리바게뜨 강동성내점 주말미들 아르바이트생모집합니다.(경력자 환영)문자주세요,13:00~18:00,"시급 8,720",55분전
전북 군산시,파리바게뜨 군산디오션점 평일(오후~저녁) 아르바이트구합니다.,16:00~10:30,"시급 8,720",55분전
서울 은평구,"월,수,금07:30-12:30/화,목07:30-12:30",07:30~12:00,"시급 8,720",55분전
서울 종로구,파리바게뜨 종로구청점 (주중 및 주말미들) 아르바이트 모집,13:00~18:00,"시급 8,720",59분전
경남 진주시,계산원모집,14:00~18:00,"시급 8,720",1시간전
서울 강동구,[파리바게트 성내점] 주말 샌드위치제조 구함,10:00~16:00,"시급 8,720",1시간전
서울 강동구,[파리바게트 성내점] 목금 마감알바 구함,16:00~23:00,"시급 8,720",1시간전
울산 남구,파리바게뜨 샌드위치 제조 아르바이트 모집,08:00~13:00,"시급 8,720",1시간전
경남 진주시,성격밝고 성실한 알바 구합니다,17:30~22:00,"시급 8,720",1시간전
울산 남구,파리바게뜨 울산달동점 평일 마감알바 모집,21:30~23:30,"시급 8,720",1시간전
경기 전체,광교에듀하임점에서 오픈아르바이트구합니다,07:30~14:00,"시급 8,720",1시간전
충남 계룡시,파리바게뜨계룡엄사점 야간 알바모집,17:00~22:00,"시급 8,720",1시간전
인천 서구,평일마감 구해요,17:00~23:00,"시급 8,720",1시간전
서울 중구,평일 미들/마감 구합니다,시간협의,"시급 8,720",1시간전
경기 성남시,"책임감 강하고 오래 근무할 평일오픈, 미들 구합니다",09:00~01:00,"시급 10,470",1시간전
대전 대덕구,파라바게뜨 대전 금강엑슬루타워점에서 근무자 모집합니다,시간협의,"시급 8,720",2시간전
전남 목포시,주말 저녁 알바 모집,17:00~23:00,"시급 8,720",2시간전
서울 강서구,[파리바게뜨염창점] 평일 마감 알바 2명 모집 (월화수/수목금),17:00~21:00,"시급 8,720",2시간전
경북 포항시,포항 세명기독병원점 주말마감 모집,17:00~22:00,"시급 8,720",2시간전
경북 구미시,파리바게뜨 구미진평점 마감파리지앵 구인,18:00~22:00,"시급 8,720",2시간전
경기 화성시,"파리바게뜨 동탄나루마을점에서 화,목 미들 알바직원 구합니다.",12:00~18:00,"시급 8,720",2시간전
서울 동대문,고려대역 파리바게뜨에서 샌드위치제조하실분 찾습니다~,07:00~13:00,"시급 8,720",2시간전
경기 안양시,(시급9.500)파바 안양관양점 조직개편으로 인한 파트타임 직원 3명 모집,시간협의,"시급 9,500",2시간전
부산 동구,파리바게뜨알바를구합니다,12:00~17:00,"시급 8,720",2시간전
서울 성동구,파리바게뜨 행당점에서 평일 오후 알바를 구합니다.,16:00~22:00,"시급 8,720",2시간전
서울 송파구,평일 월.화 아침 07-12 수 아침 07-11,07:00~12:00,"시급 8,720",2시간전
