place,title,time,pay,date
전남 여수시,청년다방 오픈 주방 알바 구해요,10:30~14:30,"시급 9,500",1시간전
전남 여수시,청년다방 오픈 주방 알바 구해요,10:30~14:30,"시급 9,500",1시간전
전남 여수시,청년다방 오픈 주방 알바 구해요,10:30~14:30,"시급 9,500",1시간전
전남 여수시,청년다방 오픈 주방 알바 구해요,10:30~14:30,"시급 9,500",1시간전
경남 창원시,미태리 창원시티세븐점 (파스타 전문점) 주방직원 구인,10:30~22:00,"월급 2,500,000",1시간전
충남 천안시,청년다방 불당점 직원 및 평일오후 알바구함(월~금),10:00~22:00,"월급 2,700,000",3시간전
충남 천안시,청년다방 불당점 직원 및 평일오후 알바구함,10:00~22:00,"월급 2,700,000",3시간전
충북 청주시,청년다방지웰시티점 직원   모집합니다,시간협의,"월급 2,500,000",4시간전
경기 성남시,청년다방판교점  매니져 (관리자) 구합니다.,시간협의,"월급 2,600,000",4시간전
경기 성남시,청년다방판교점 주방에서 함께일할 조리사 구합니다.,시간협의,"월급 2,600,000",4시간전
충남 아산시,청년다방 아산터미널점에서 주말 주방 모집합니다.,시간협의,"시급 8,800",4시간전
충남 천안시,청년다방 불당점 직원 및 평일오후 알바구함,10:00~22:00,"월급 2,700,000",4시간전
충북 청주시,청년다방지웰시티점 직원   모집합니다,시간협의,"월급 2,500,000",6시간전
충북 청주시,청년다방지웰시티점 직원   모집합니다,시간협의,"월급 2,500,000",6시간전
인천 남동구,[청년다방 서창점] 평일 홀서빙 모집,18:00~21:00,"시급 8,720",6시간전
대전 중구,청년다방 대전은행점에서 함께 열정을 태울 정직원 청년을 기다립니다,시간협의,"월급 2,600,000",7시간전
충남 천안시,청년다방 불당점 직원 및 평일오후 알바구함(월~금),10:00~22:00,"월급 2,700,000",7시간전
충남 천안시,청년다방 불당점 직원 및 평일오후 알바구함(월~금),10:00~22:00,"월급 2,700,000",8시간전
인천 부평구,"청년다방 인천삼산점 홀직원(주5일, 45시간) 구합니다",10:00~22:00,"월급 2,100,000",07/18
인천 부평구,"청년다방 인천삼산점 주방직원(주5일, 주45시간) 구합니다",10:00~22:00,"월급 2,100,000",07/18
경기 안양시,"[홀서빙]청년다방 안양일번가점(수,목,금 오후)",17:00~21:00,"시급 8,720",07/18
경기 안양시,"[주방,주방보조]청년다방 안양일번가점(토요일 일요일 오후)",17:00~21:00,"시급 8,720",07/18
경기 안양시,[홀서빙]청년다방 안양일번가점(월화수 오전),12:00~17:00,"시급 8,720",07/18
경기 안양시,[홀서빙]청년다방 안양일번가점(목금 오전),12:00~17:00,"시급 8,720",07/18
서울 노원구,청년다방 노원역점 목/금 오후 홀서빙 모집중이에요,17:00~22:00,"시급 8,800",07/16
전북 전주시,청년다방 송천점 파트타임 알바모집,시간협의,"시급 9,000",07/16
경기 평택시,청년다방 주방 구합니다,18:00~22:00,"시급 10,000",07/15
경기 성남시,청년다방판교점 주방에서 함께일할 조리사 구합니다.,시간협의,"월급 2,600,000",07/15
경기 화성시,청년다방 화성남양점 아르바이트 모집합니다,11:00~20:30,"시급 8,720",07/14
경기 화성시,청년다방 화성남양점 아르바이트 모집합니다,11:00~20:30,"시급 8,720",07/13
경기 평택시,청년다방 주방 구합니다,15:00~22:00,"시급 10,000",07/13
경기 안산시,청년다방 주방보조 ( 문자로접수 ),11:00~21:00,"월급 2,300,000",07/13
강원 강릉시,강릉 청년다방 주방 직원 모집합니다.(주5일 또는 주6일),11:00~22:00,"월급 2,600,000",07/13
경북 경주시,"은화수식당 금,토,일오후알바",04:30~09:00,"시급 8,720",07/12
경기 화성시,청년다방 화성남양점 아르바이트 모집합니다,11:00~20:30,"시급 8,720",07/12
